,Hours,produced_total,given_p_total,consumed_total,Nettoexport
394,394,33081.0,76410.0,70881,8347
395,395,33020.0,76465.0,70674,8199
396,396,33123.0,74849.0,69757,7502
397,397,33187.0,72329.0,68643,5987
398,398,33404.0,68813.0,67502,4055
399,399,33952.0,66860.0,67175,1966
400,400,35376.0,67340.0,67300,2693
401,401,35809.0,70617.0,69438,3813
402,402,35906.0,72359.0,69115,6296
403,403,33569.0,70489.0,67638,6174
404,404,30117.0,68001.0,63603,6688
405,405,27723.0,66765.0,61296,7745
406,406,25566.0,65183.0,58310,9289
407,407,23970.0,63604.0,54767,10219
408,408,22158.0,60958.0,51552,10128
409,409,22154.0,60259.0,49474,11149
410,410,21664.0,59461.0,48057,9938
411,411,22026.0,59322.0,47847,10411
412,412,22865.0,59266.0,47103,10351
413,413,23445.0,58864.0,47440,10162
414,414,23790.0,58817.0,48052,9672
415,415,26104.0,61344.0,51447,11394
416,416,27502.0,62889.0,55101,10031
417,417,29398.0,66584.0,58137,11002
418,418,29986.0,68150.0,59101,11770
419,419,29014.0,68382.0,60672,10537
420,420,28796.0,67998.0,60450,10582
421,421,28879.0,66059.0,58901,9907
422,422,29093.0,62535.0,57359,7541
423,423,29488.0,59259.0,56301,5433
424,424,30336.0,58152.0,56916,3791
425,425,31883.0,61429.0,60203,3898
426,426,33416.0,63474.0,60532,5690
427,427,32392.0,61218.0,58715,5352
428,428,32302.0,60356.0,55173,7545
429,429,30539.0,57460.0,52750,7189
430,430,30587.0,57441.0,51881,7984
431,431,29237.0,55157.0,49135,8120
432,432,27653.0,52477.0,46269,7372
433,433,26208.0,50739.0,44761,4783
434,434,25892.0,50068.0,43815,3656
435,435,25691.0,49466.0,43288,4146
436,436,25280.0,49023.0,43470,3311
437,437,25384.0,49503.0,43013,4349
438,438,25989.0,49790.0,42878,5066
439,439,26633.0,50061.0,44643,4788
440,440,28099.0,52101.0,47431,5601
441,441,29478.0,55076.0,51046,5599
442,442,30003.0,57533.0,53765,5855
443,443,29881.0,57441.0,55873,3774
444,444,29806.0,57825.0,55934,4196
445,445,28886.0,56169.0,54290,3404
446,446,28979.0,54488.0,52473,3282
447,447,29599.0,52639.0,51842,2570
448,448,30487.0,52660.0,52158,2192
449,449,31578.0,55785.0,55955,1168
450,450,32411.0,57575.0,57348,1386
451,451,32115.0,55503.0,56241,1053
452,452,31580.0,52891.0,54009,1095
453,453,31185.0,51145.0,52797,667
454,454,31152.0,50582.0,52508,116
455,455,30368.0,48736.0,49611,948
456,456,30637.0,47674.0,47210,1518
457,457,30788.0,46952.0,46134,1683
458,458,31009.0,46733.0,45376,729
459,459,30487.0,46460.0,45804,-946
460,460,31663.0,48043.0,47649,-671
461,461,35895.0,53008.0,51607,1815
462,462,41161.0,60230.0,59619,2296
463,463,44888.0,66065.0,66122,2463
464,464,46095.0,67843.0,69017,1132
465,465,46528.0,70817.0,69422,3584
466,466,46099.0,73019.0,70060,5369
467,467,44058.0,72310.0,70756,3831
468,468,44232.0,75224.0,70437,7128
469,469,43125.0,72940.0,70125,5319
470,470,43939.0,72139.0,69079,5066
471,471,44629.0,70534.0,68521,4361
472,472,45940.0,70043.0,68373,3510
473,473,46704.0,73308.0,71171,4652
474,474,47155.0,75384.0,71722,6218
475,475,45772.0,74872.0,70058,7049
476,476,42565.0,72012.0,66324,7582
477,477,40422.0,69443.0,63049,7868
478,478,38234.0,67096.0,60290,7931
479,479,35012.0,63925.0,56773,7613
480,480,33922.0,62994.0,53839,8066
481,481,31759.0,61334.0,52191,7764
482,482,31586.0,61478.0,51489,7877
483,483,31831.0,61888.0,51668,7607
484,484,32451.0,63308.0,53486,7398
485,485,34626.0,65903.0,56397,7525
486,486,39660.0,72528.0,63670,9706
487,487,42845.0,76733.0,70282,7965
488,488,44891.0,79074.0,72593,8071
489,489,43912.0,79774.0,72295,9383
490,490,42553.0,79568.0,71858,9165
491,491,41539.0,79325.0,71998,9258
492,492,41318.0,78671.0,71031,9232
493,493,41872.0,78373.0,70238,9535
494,494,42551.0,76145.0,69218,8138
495,495,43915.0,73620.0,68964,6356
496,496,45934.0,73865.0,68645,6839
497,497,47021.0,77050.0,72079,6252
498,498,47414.0,77800.0,72301,6838
499,499,46525.0,76064.0,70754,6748
500,500,44422.0,73951.0,67500,7941
501,501,42016.0,70022.0,63952,7495
502,502,40459.0,67545.0,61224,7726
503,503,36847.0,64797.0,57586,6934
504,504,35824.0,63826.0,55090,8118
505,505,35674.0,62921.0,53291,8305
506,506,34748.0,61568.0,52051,7583
507,507,34818.0,61397.0,51914,7040
508,508,35223.0,62155.0,53115,6852
509,509,37558.0,64770.0,56040,7676
510,510,41589.0,69466.0,63578,7655
511,511,45360.0,75167.0,69559,7676
512,512,47233.0,78200.0,71952,7951
513,513,46887.0,78084.0,72394,7668
514,514,46863.0,77687.0,72424,7133
515,515,46630.0,76505.0,72673,6220
516,516,46712.0,76152.0,72220,6043
517,517,47076.0,75689.0,71502,5957
518,518,47324.0,74347.0,70688,5696
