Datum;Uhrzeit;Generation_DE G[MW];Generation_DE C[MW];Generation_DE F[MW];Generation_DE A[MW];Generation_DE B[MW];Generation_DE D[MW];Generation_DE E[MW]
13.01.2020;11:00;1.051;-;1.055;263;0;0;0
13.01.2020;12:00;1.051;-;1.055;263;0;0;0
13.01.2020;13:00;1.048;-;1.059;264;0;0;0
13.01.2020;14:00;1.050;-;1.055;264;0;0;0
13.01.2020;15:00;1.048;-;1.059;264;0;0;0
13.01.2020;16:00;1.048;-;1.057;264;0;0;0
13.01.2020;17:00;1.043;-;1.061;274;0;0;0
13.01.2020;18:00;1.049;-;1.054;279;0;0;0
13.01.2020;19:00;1.052;-;1.055;281;0;0;0
13.01.2020;20:00;958;-;1.037;200;0;0;0
13.01.2020;21:00;871;-;918;174;0;0;0
13.01.2020;22:00;864;-;847;174;0;0;0
13.01.2020;23:00;865;-;571;170;0;0;0
14.01.2020;00:00;864;-;483;169;0;0;0
14.01.2020;01:00;865;-;495;171;0;0;0
14.01.2020;02:00;865;-;486;171;0;0;0
14.01.2020;03:00;760;-;481;170;0;0;0
14.01.2020;04:00;480;-;487;170;0;0;0
14.01.2020;05:00;495;-;494;170;0;0;0
14.01.2020;06:00;834;-;836;171;0;0;0
14.01.2020;07:00;1.043;-;1.046;173;0;0;0
14.01.2020;08:00;1.047;-;1.049;227;0;0;0
14.01.2020;09:00;1.047;-;1.050;189;0;0;0
14.01.2020;10:00;1.044;-;1.008;183;0;0;0
14.01.2020;11:00;1.029;-;0;204;0;0;0
14.01.2020;12:00;1.036;-;0;169;0;0;0
14.01.2020;13:00;1.041;-;0;198;0;0;0
14.01.2020;14:00;1.041;-;0;213;0;0;0
14.01.2020;15:00;1.037;-;0;244;0;0;0
14.01.2020;16:00;1.038;-;0;259;0;0;0
14.01.2020;17:00;1.037;-;0;265;0;0;0
14.01.2020;18:00;1.042;-;0;268;0;0;0
14.01.2020;19:00;1.044;-;0;271;0;0;0
14.01.2020;20:00;1.040;-;0;256;0;0;0
14.01.2020;21:00;904;-;0;174;0;0;0
14.01.2020;22:00;898;-;0;170;0;0;0
14.01.2020;23:00;694;-;0;166;0;0;0
15.01.2020;00:00;484;-;0;167;0;0;0
15.01.2020;01:00;485;-;0;164;0;0;0
15.01.2020;02:00;484;-;0;159;0;0;0
15.01.2020;03:00;486;-;0;159;0;0;0
15.01.2020;04:00;485;-;0;161;0;0;0
15.01.2020;05:00;498;-;0;161;0;0;0
15.01.2020;06:00;877;-;0;194;0;0;0
15.01.2020;07:00;1.037;-;0;261;0;0;0
15.01.2020;08:00;1.040;-;0;270;0;0;0
15.01.2020;09:00;1.043;-;0;269;0;0;0
15.01.2020;10:00;1.039;-;0;260;0;0;0
15.01.2020;11:00;1.045;-;0;191;0;0;0
15.01.2020;12:00;1.042;-;0;185;0;0;0
15.01.2020;13:00;1.039;-;0;227;0;0;0
15.01.2020;14:00;1.042;-;0;265;0;0;0
15.01.2020;15:00;1.036;-;0;264;0;0;0
15.01.2020;16:00;1.040;-;0;264;0;0;0
15.01.2020;17:00;1.039;-;0;269;0;0;0
15.01.2020;18:00;1.039;-;0;270;0;0;0
15.01.2020;19:00;1.038;-;0;271;0;0;0
15.01.2020;20:00;1.039;-;0;270;0;0;0
15.01.2020;21:00;1.038;-;0;267;0;0;0
15.01.2020;22:00;1.025;-;0;262;0;0;0
15.01.2020;23:00;968;-;0;278;0;0;0
16.01.2020;00:00;942;-;0;285;0;0;0
16.01.2020;01:00;940;-;0;286;0;0;0
16.01.2020;02:00;915;-;0;285;0;0;0
16.01.2020;03:00;926;-;0;286;0;0;0
16.01.2020;04:00;930;-;0;286;0;0;0
16.01.2020;05:00;1.030;-;0;286;0;0;108
16.01.2020;06:00;1.050;-;0;284;0;0;303
16.01.2020;07:00;1.050;-;0;280;0;0;471
16.01.2020;08:00;1.047;-;0;284;0;0;585
16.01.2020;09:00;1.047;-;0;281;0;0;582
16.01.2020;10:00;1.046;-;0;283;0;0;588
16.01.2020;11:00;1.049;-;0;282;0;0;586
16.01.2020;12:00;1.049;-;0;282;0;0;586
16.01.2020;13:00;1.042;-;0;281;0;0;586
16.01.2020;14:00;1.046;-;0;281;0;0;585
16.01.2020;15:00;1.042;-;0;280;0;0;585
16.01.2020;16:00;1.042;-;0;279;0;0;571
16.01.2020;17:00;1.048;-;0;282;0;0;577
16.01.2020;18:00;1.045;-;0;282;0;0;579
16.01.2020;19:00;1.044;-;0;283;0;0;582
16.01.2020;20:00;1.045;-;0;276;0;0;555
16.01.2020;21:00;1.046;-;0;156;0;0;286
16.01.2020;22:00;1.046;-;0;139;0;0;261
16.01.2020;23:00;1.046;-;0;138;0;0;258
17.01.2020;00:00;1.036;-;0;137;0;0;257
17.01.2020;01:00;1.023;-;0;138;0;0;255
17.01.2020;02:00;847;-;0;137;0;0;255
17.01.2020;03:00;977;-;0;136;0;0;256
17.01.2020;04:00;979;-;130;136;0;0;254
17.01.2020;05:00;1.039;-;453;144;0;0;342
17.01.2020;06:00;1.048;-;797;257;0;0;573
17.01.2020;07:00;1.042;-;1.044;280;0;0;575
17.01.2020;08:00;1.042;-;1.053;280;0;0;579
17.01.2020;09:00;1.037;-;1.060;280;0;0;588
17.01.2020;10:00;1.038;-;1.054;280;0;0;594
17.01.2020;11:00;1.037;-;1.056;280;0;0;599
17.01.2020;12:00;1.039;-;1.057;280;0;0;599
17.01.2020;13:00;1.036;-;1.059;280;0;0;600
17.01.2020;14:00;1.034;-;1.053;279;0;0;600
17.01.2020;15:00;1.036;-;1.060;280;0;0;602
17.01.2020;16:00;1.039;-;1.064;279;0;0;600
17.01.2020;17:00;1.040;-;1.062;283;0;0;608
17.01.2020;18:00;1.043;-;1.064;284;0;0;613
17.01.2020;19:00;1.036;-;1.063;283;0;0;611
17.01.2020;20:00;1.043;-;1.064;273;0;0;610
17.01.2020;21:00;1.040;-;1.062;149;0;0;369
17.01.2020;22:00;1.033;-;1.065;139;0;0;259
17.01.2020;23:00;1.043;-;1.066;138;0;0;275
18.01.2020;00:00;923;-;929;137;0;0;279
18.01.2020;01:00;899;-;902;136;0;0;277
18.01.2020;02:00;804;-;800;135;0;0;276
18.01.2020;03:00;776;-;670;136;0;0;275
18.01.2020;04:00;930;-;847;136;0;0;278
18.01.2020;05:00;967;-;984;135;0;0;276
18.01.2020;06:00;997;-;1.007;136;0;0;278
18.01.2020;07:00;1.038;-;1.057;171;0;0;287
18.01.2020;08:00;1.038;-;1.050;278;0;0;425
18.01.2020;09:00;1.036;-;1.061;282;0;0;605
18.01.2020;10:00;1.034;-;1.059;283;0;0;595
18.01.2020;11:00;1.036;-;1.060;281;0;0;597
18.01.2020;12:00;1.035;-;1.056;269;0;0;596
18.01.2020;13:00;1.035;-;1.059;261;0;0;597
18.01.2020;14:00;1.035;-;1.059;281;0;0;596
18.01.2020;15:00;1.034;-;1.058;281;0;0;597
18.01.2020;16:00;1.037;-;1.059;281;0;0;597
18.01.2020;17:00;1.042;-;1.064;283;0;0;604
18.01.2020;18:00;1.045;-;1.061;285;0;0;605
18.01.2020;19:00;1.045;-;1.063;285;0;0;608
18.01.2020;20:00;1.042;-;1.058;286;0;0;607
18.01.2020;21:00;1.048;-;1.052;285;0;0;609
18.01.2020;22:00;1.046;-;1.059;284;0;0;604
18.01.2020;23:00;1.045;-;1.059;281;0;0;597
19.01.2020;00:00;1.050;-;1.060;277;0;0;388
19.01.2020;01:00;1.046;-;1.058;218;0;0;251
19.01.2020;02:00;1.045;-;1.062;140;0;0;262
19.01.2020;03:00;1.045;-;1.052;173;0;0;258
19.01.2020;04:00;1.044;-;1.057;153;0;0;253
19.01.2020;05:00;1.044;-;1.061;136;0;0;251
19.01.2020;06:00;1.044;-;1.058;136;0;0;251
19.01.2020;07:00;1.043;-;1.058;161;0;0;279
19.01.2020;08:00;1.043;-;1.058;264;0;0;550
19.01.2020;09:00;1.045;-;1.061;282;0;0;602
19.01.2020;10:00;1.045;-;1.057;281;0;0;602
19.01.2020;11:00;1.046;-;1.060;280;0;0;601
19.01.2020;12:00;1.042;-;1.052;281;0;0;600
19.01.2020;13:00;1.046;-;1.063;282;0;0;599
19.01.2020;14:00;1.044;-;1.060;283;0;0;569
19.01.2020;15:00;1.045;-;1.059;282;0;0;603
19.01.2020;16:00;1.043;-;1.060;281;0;0;601
19.01.2020;17:00;1.042;-;1.057;284;0;0;605
19.01.2020;18:00;1.046;-;1.060;284;0;0;606
