Datum;Uhrzeit;Generation_DE G[MW];Generation_DE H[MW];Generation_DE D[MW];Generation_DE E[MW];Generation_DE C[MW];Generation_DE B[MW];Generation_DE F[MW];Generation_DE K[MW];Generation_DE A[MW]
15.01.2020;19:00;617;0;0;-;274;-;-;922;-
15.01.2020;20:00;617;0;0;-;274;-;-;920;-
15.01.2020;21:00;616;0;0;-;260;-;-;921;-
15.01.2020;22:00;473;0;0;-;177;-;-;920;-
15.01.2020;23:00;456;0;0;-;151;-;-;919;-
16.01.2020;00:00;562;0;0;-;196;-;-;922;-
16.01.2020;01:00;619;0;0;-;272;-;-;920;-
16.01.2020;02:00;617;0;0;-;272;-;-;920;-
16.01.2020;03:00;619;0;0;-;272;-;-;925;-
16.01.2020;04:00;620;171;0;-;272;-;-;925;-
16.01.2020;05:00;618;390;0;-;272;-;-;923;-
16.01.2020;06:00;619;534;0;-;273;-;-;925;-
16.01.2020;07:00;633;648;0;-;272;-;-;935;-
16.01.2020;08:00;633;644;0;-;272;-;-;942;-
16.01.2020;09:00;633;648;0;-;272;-;-;943;-
16.01.2020;10:00;624;640;0;-;272;-;-;952;-
16.01.2020;11:00;625;643;0;-;272;-;-;949;-
16.01.2020;12:00;609;642;0;-;271;-;-;944;-
16.01.2020;13:00;511;637;0;-;270;-;-;853;-
16.01.2020;14:00;521;639;0;-;271;-;-;851;-
16.01.2020;15:00;616;632;0;-;272;-;-;939;-
16.01.2020;16:00;620;635;0;-;272;-;-;950;-
16.01.2020;17:00;621;633;0;-;272;-;-;951;-
16.01.2020;18:00;618;625;0;-;272;-;-;949;-
16.01.2020;19:00;613;639;0;-;273;-;-;930;-
16.01.2020;20:00;580;630;0;-;262;-;-;930;-
16.01.2020;21:00;327;384;0;-;175;-;-;929;-
16.01.2020;22:00;303;276;0;-;148;-;-;931;-
16.01.2020;23:00;301;279;0;-;150;-;-;929;-
17.01.2020;00:00;299;280;0;-;150;-;-;931;-
17.01.2020;01:00;301;281;0;-;149;-;-;782;-
17.01.2020;02:00;299;281;0;-;150;-;-;466;-
17.01.2020;03:00;305;280;0;-;150;-;-;422;-
17.01.2020;04:00;302;281;0;-;150;-;-;390;-
17.01.2020;05:00;331;395;0;-;150;-;-;795;-
17.01.2020;06:00;564;640;0;-;209;-;-;933;-
17.01.2020;07:00;623;642;0;-;273;-;-;941;-
17.01.2020;08:00;623;656;0;-;273;-;-;944;-
17.01.2020;09:00;625;652;0;-;272;-;-;947;-
17.01.2020;10:00;633;656;0;-;273;-;-;946;-
17.01.2020;11:00;616;648;0;-;272;-;-;929;-
17.01.2020;12:00;612;640;0;-;272;-;-;928;-
17.01.2020;13:00;611;644;0;-;272;-;-;929;-
17.01.2020;14:00;616;645;0;-;272;-;-;928;-
17.01.2020;15:00;622;656;0;-;273;-;-;946;-
17.01.2020;16:00;624;649;0;-;272;-;-;948;-
17.01.2020;17:00;624;608;0;-;272;-;-;948;-
17.01.2020;18:00;629;644;0;-;278;-;-;948;-
17.01.2020;19:00;627;644;0;-;280;-;-;946;-
17.01.2020;20:00;522;648;0;-;208;-;-;945;-
17.01.2020;21:00;292;482;0;-;152;-;-;944;-
17.01.2020;22:00;286;293;0;-;151;-;-;930;-
17.01.2020;23:00;286;277;0;-;150;-;-;913;-
18.01.2020;00:00;286;280;0;-;150;-;-;591;-
18.01.2020;01:00;285;281;0;-;150;-;-;371;-
18.01.2020;02:00;286;279;0;-;149;-;-;377;-
18.01.2020;03:00;285;280;0;-;150;-;-;370;-
18.01.2020;04:00;282;280;0;-;150;-;-;376;-
18.01.2020;05:00;279;281;0;-;150;-;-;371;-
18.01.2020;06:00;280;279;0;-;150;-;-;457;-
18.01.2020;07:00;288;296;0;-;155;-;-;895;-
18.01.2020;08:00;339;475;0;-;172;-;-;934;-
18.01.2020;09:00;601;649;0;-;261;-;-;934;-
18.01.2020;10:00;629;646;0;-;283;-;-;933;-
18.01.2020;11:00;633;654;0;-;282;-;-;932;-
18.01.2020;12:00;630;644;0;-;282;-;-;864;-
18.01.2020;13:00;629;645;0;-;282;-;-;860;-
18.01.2020;14:00;628;646;0;-;282;-;-;861;-
18.01.2020;15:00;627;643;0;-;282;-;-;860;-
18.01.2020;16:00;629;648;0;-;282;-;-;861;-
18.01.2020;17:00;628;648;0;-;282;-;-;878;-
18.01.2020;18:00;628;646;0;-;281;-;-;946;-
18.01.2020;19:00;630;644;0;-;282;-;-;952;-
18.01.2020;20:00;629;647;0;-;281;-;-;932;-
18.01.2020;21:00;629;649;0;-;282;-;-;894;-
18.01.2020;22:00;629;649;0;-;278;-;-;863;-
18.01.2020;23:00;603;646;0;-;258;-;-;861;-
19.01.2020;00:00;334;626;0;-;176;-;-;928;-
19.01.2020;01:00;293;380;0;-;149;-;-;932;-
19.01.2020;02:00;282;277;0;-;151;-;-;931;-
19.01.2020;03:00;282;289;0;-;150;-;-;927;-
19.01.2020;04:00;285;284;0;-;150;-;-;928;-
19.01.2020;05:00;333;280;0;-;150;-;-;930;-
19.01.2020;06:00;311;279;0;-;149;-;-;933;-
19.01.2020;07:00;287;323;0;-;154;-;-;930;-
19.01.2020;08:00;497;601;0;-;171;-;-;932;-
19.01.2020;09:00;561;651;0;-;263;-;-;928;-
19.01.2020;10:00;627;653;0;-;282;-;-;932;-
19.01.2020;11:00;628;656;0;-;283;-;-;930;-
19.01.2020;12:00;630;651;0;-;282;-;-;929;-
19.01.2020;13:00;623;649;0;-;280;-;-;930;-
19.01.2020;14:00;529;641;0;-;238;-;-;931;-
19.01.2020;15:00;572;658;0;-;247;-;-;930;-
19.01.2020;16:00;629;648;0;-;283;-;-;930;-
19.01.2020;17:00;641;667;0;-;282;-;-;947;-
19.01.2020;18:00;638;661;0;-;282;-;-;950;-
19.01.2020;19:00;640;664;0;-;282;-;-;949;-
19.01.2020;20:00;627;651;0;-;282;-;-;948;-
19.01.2020;21:00;597;649;0;-;275;-;-;928;-
19.01.2020;22:00;629;654;0;-;283;-;-;929;-
19.01.2020;23:00;629;654;0;-;281;-;-;931;-
20.01.2020;00:00;588;639;0;-;225;-;-;930;-
20.01.2020;01:00;625;653;0;-;165;-;-;931;-
20.01.2020;02:00;592;631;0;-;175;-;-;930;-
20.01.2020;03:00;351;382;37;-;149;-;-;921;-
20.01.2020;04:00;290;318;97;-;150;-;-;916;-
20.01.2020;05:00;354;543;123;-;182;-;-;930;-
20.01.2020;06:00;603;652;154;-;268;-;-;933;-
