Datum;Uhrzeit;Generation_DE R[MW];Generation_DE Q[MW];Generation_DE P[MW];Generation_DE N[MW]
17.01.2020;14:00;570;0;200;503
17.01.2020;15:00;565;0;194;500
17.01.2020;16:00;563;0;193;503
17.01.2020;17:00;564;0;193;499
17.01.2020;18:00;563;0;193;503
17.01.2020;19:00;558;0;193;497
17.01.2020;20:00;562;0;192;498
17.01.2020;21:00;568;0;197;497
17.01.2020;22:00;558;0;197;498
17.01.2020;23:00;413;0;197;405
18.01.2020;00:00;271;0;181;397
18.01.2020;01:00;279;0;178;399
18.01.2020;02:00;286;0;168;399
18.01.2020;03:00;437;0;167;436
18.01.2020;04:00;450;0;169;433
18.01.2020;05:00;533;0;167;441
18.01.2020;06:00;515;0;171;441
18.01.2020;07:00;587;0;206;492
18.01.2020;08:00;584;0;208;500
18.01.2020;09:00;587;0;208;501
18.01.2020;10:00;587;0;209;501
18.01.2020;11:00;585;0;210;501
18.01.2020;12:00;587;0;210;501
18.01.2020;13:00;589;0;209;503
18.01.2020;14:00;579;0;208;500
18.01.2020;15:00;590;0;207;500
18.01.2020;16:00;593;0;205;503
18.01.2020;17:00;584;0;211;502
18.01.2020;18:00;581;0;212;503
18.01.2020;19:00;580;0;211;501
18.01.2020;20:00;579;0;205;502
18.01.2020;21:00;589;0;207;501
18.01.2020;22:00;590;0;214;501
18.01.2020;23:00;586;0;215;501
19.01.2020;00:00;591;0;215;498
19.01.2020;01:00;597;0;213;492
19.01.2020;02:00;599;0;213;500
19.01.2020;03:00;597;0;215;499
19.01.2020;04:00;601;0;216;502
19.01.2020;05:00;589;0;214;500
19.01.2020;06:00;591;0;213;500
19.01.2020;07:00;592;0;214;501
19.01.2020;08:00;594;0;211;500
19.01.2020;09:00;610;0;214;503
19.01.2020;10:00;611;0;214;502
19.01.2020;11:00;611;0;214;500
19.01.2020;12:00;610;0;214;500
19.01.2020;13:00;606;0;213;491
19.01.2020;14:00;586;0;211;499
19.01.2020;15:00;583;0;211;500
19.01.2020;16:00;584;0;211;501
19.01.2020;17:00;583;0;211;500
19.01.2020;18:00;587;0;211;502
19.01.2020;19:00;583;0;210;502
19.01.2020;20:00;587;0;211;501
19.01.2020;21:00;595;0;215;501
19.01.2020;22:00;592;0;215;501
19.01.2020;23:00;586;0;215;501
20.01.2020;00:00;586;0;215;502
20.01.2020;01:00;585;0;213;501
20.01.2020;02:00;586;0;213;501
20.01.2020;03:00;587;0;211;502
20.01.2020;04:00;586;0;213;500
20.01.2020;05:00;584;0;213;500
20.01.2020;06:00;578;0;214;499
20.01.2020;07:00;562;0;213;500
20.01.2020;08:00;573;0;213;502
20.01.2020;09:00;564;0;213;501
20.01.2020;10:00;566;0;214;499
20.01.2020;11:00;558;0;214;497
20.01.2020;12:00;558;0;215;501
20.01.2020;13:00;565;0;213;500
20.01.2020;14:00;558;0;214;501
