Datum;Uhrzeit;Generation_DE GUD C 200
GT 1, GT 2, DT 1[MW]
27.01.2020;03:00;143
27.01.2020;04:00;145
27.01.2020;05:00;143
27.01.2020;06:00;148
27.01.2020;07:00;154
27.01.2020;08:00;144
27.01.2020;09:00;147
27.01.2020;10:00;151
27.01.2020;11:00;151
27.01.2020;12:00;147
27.01.2020;13:00;146
27.01.2020;14:00;142
27.01.2020;15:00;158
27.01.2020;16:00;146
27.01.2020;17:00;141
27.01.2020;18:00;149
27.01.2020;19:00;150
27.01.2020;20:00;147
27.01.2020;21:00;144
27.01.2020;22:00;144
27.01.2020;23:00;154
28.01.2020;00:00;130
28.01.2020;01:00;133
28.01.2020;02:00;139
28.01.2020;03:00;134
28.01.2020;04:00;137
28.01.2020;05:00;136
28.01.2020;06:00;141
28.01.2020;07:00;148
28.01.2020;08:00;148
28.01.2020;09:00;155
28.01.2020;10:00;144
28.01.2020;11:00;141
28.01.2020;12:00;138
28.01.2020;13:00;141
28.01.2020;14:00;141
28.01.2020;15:00;134
28.01.2020;16:00;128
28.01.2020;17:00;137
28.01.2020;18:00;139
28.01.2020;19:00;148
28.01.2020;20:00;137
28.01.2020;21:00;147
28.01.2020;22:00;142
28.01.2020;23:00;141
29.01.2020;00:00;141
29.01.2020;01:00;147
29.01.2020;02:00;150
29.01.2020;03:00;132
29.01.2020;04:00;138
29.01.2020;05:00;133
29.01.2020;06:00;130
29.01.2020;07:00;143
29.01.2020;08:00;143
29.01.2020;09:00;137
29.01.2020;10:00;133
29.01.2020;11:00;125
29.01.2020;12:00;126
29.01.2020;13:00;131
29.01.2020;14:00;131
29.01.2020;15:00;129
29.01.2020;16:00;124
29.01.2020;17:00;136
29.01.2020;18:00;135
29.01.2020;19:00;138
29.01.2020;20:00;137
29.01.2020;21:00;139
29.01.2020;22:00;137
29.01.2020;23:00;137
30.01.2020;00:00;139
30.01.2020;01:00;138
30.01.2020;02:00;135
30.01.2020;03:00;131
30.01.2020;04:00;133
30.01.2020;05:00;134
30.01.2020;06:00;137
30.01.2020;07:00;144
30.01.2020;08:00;142
30.01.2020;09:00;138
30.01.2020;10:00;136
30.01.2020;11:00;131
30.01.2020;12:00;126
30.01.2020;13:00;127
30.01.2020;14:00;138
30.01.2020;15:00;148
30.01.2020;16:00;150
30.01.2020;17:00;160
30.01.2020;18:00;166
30.01.2020;19:00;126
30.01.2020;20:00;123
30.01.2020;21:00;119
30.01.2020;22:00;123
30.01.2020;23:00;124
31.01.2020;00:00;123
31.01.2020;01:00;123
31.01.2020;02:00;125
31.01.2020;03:00;128
31.01.2020;04:00;134
31.01.2020;05:00;138
31.01.2020;06:00;130
31.01.2020;07:00;154
31.01.2020;08:00;142
31.01.2020;09:00;148
31.01.2020;10:00;147
31.01.2020;11:00;149
31.01.2020;12:00;146
31.01.2020;13:00;142
31.01.2020;14:00;141
31.01.2020;15:00;137
31.01.2020;16:00;147
31.01.2020;17:00;140
31.01.2020;18:00;146
31.01.2020;19:00;137
31.01.2020;20:00;139
31.01.2020;21:00;129
31.01.2020;22:00;133
31.01.2020;23:00;136
01.02.2020;00:00;129
01.02.2020;01:00;129
01.02.2020;02:00;135
01.02.2020;03:00;128
01.02.2020;04:00;124
01.02.2020;05:00;120
01.02.2020;06:00;123
01.02.2020;07:00;135
01.02.2020;08:00;135
01.02.2020;09:00;134
01.02.2020;10:00;133
01.02.2020;11:00;133
01.02.2020;12:00;134
01.02.2020;13:00;134
01.02.2020;14:00;130
01.02.2020;15:00;129
01.02.2020;16:00;131
01.02.2020;17:00;132
01.02.2020;18:00;129
01.02.2020;19:00;129
01.02.2020;20:00;130
01.02.2020;21:00;138
01.02.2020;22:00;133
01.02.2020;23:00;127
02.02.2020;00:00;126
02.02.2020;01:00;126
02.02.2020;02:00;122
02.02.2020;03:00;122
02.02.2020;04:00;124
02.02.2020;05:00;138
02.02.2020;06:00;139
02.02.2020;07:00;135
02.02.2020;08:00;131
02.02.2020;09:00;136
02.02.2020;10:00;131
02.02.2020;11:00;125
02.02.2020;12:00;129
02.02.2020;13:00;125
02.02.2020;14:00;124
02.02.2020;15:00;122
02.02.2020;16:00;128
02.02.2020;17:00;128
02.02.2020;18:00;135
02.02.2020;19:00;137
02.02.2020;20:00;132
02.02.2020;21:00;132
02.02.2020;22:00;135
02.02.2020;23:00;136
03.02.2020;00:00;135
03.02.2020;01:00;137
03.02.2020;02:00;138
03.02.2020;03:00;135
03.02.2020;04:00;137
03.02.2020;05:00;137
03.02.2020;06:00;140
03.02.2020;07:00;138
03.02.2020;08:00;135
03.02.2020;09:00;131
03.02.2020;10:00;133
03.02.2020;11:00;132
03.02.2020;12:00;126
03.02.2020;13:00;138
03.02.2020;14:00;139
03.02.2020;15:00;133
03.02.2020;16:00;131
03.02.2020;17:00;129
03.02.2020;18:00;133
03.02.2020;19:00;131
03.02.2020;20:00;130
03.02.2020;21:00;136
03.02.2020;22:00;134
03.02.2020;23:00;130
04.02.2020;00:00;130
04.02.2020;01:00;137
04.02.2020;02:00;125
04.02.2020;03:00;123
04.02.2020;04:00;125
04.02.2020;05:00;126
04.02.2020;06:00;136
04.02.2020;07:00;143
04.02.2020;08:00;145
04.02.2020;09:00;141
04.02.2020;10:00;164
04.02.2020;11:00;152
04.02.2020;12:00;149
04.02.2020;13:00;167
04.02.2020;14:00;127
04.02.2020;15:00;132
04.02.2020;16:00;134
04.02.2020;17:00;155
04.02.2020;18:00;157
04.02.2020;19:00;155
04.02.2020;20:00;154
04.02.2020;21:00;130
04.02.2020;22:00;131
04.02.2020;23:00;128
05.02.2020;00:00;125
05.02.2020;01:00;123
05.02.2020;02:00;122
05.02.2020;03:00;121
05.02.2020;04:00;140
05.02.2020;05:00;139
05.02.2020;06:00;154
05.02.2020;07:00;153
05.02.2020;08:00;168
05.02.2020;09:00;164
05.02.2020;10:00;165
05.02.2020;11:00;162
05.02.2020;12:00;159
05.02.2020;13:00;154
05.02.2020;14:00;140
05.02.2020;15:00;152
05.02.2020;16:00;148
05.02.2020;17:00;145
05.02.2020;18:00;151
05.02.2020;19:00;155
05.02.2020;20:00;149
05.02.2020;21:00;156
05.02.2020;22:00;155
05.02.2020;23:00;172
06.02.2020;00:00;144
06.02.2020;01:00;150
06.02.2020;02:00;156
06.02.2020;03:00;156
06.02.2020;04:00;156
06.02.2020;05:00;156
06.02.2020;06:00;149
06.02.2020;07:00;143
06.02.2020;08:00;153
06.02.2020;09:00;152
06.02.2020;10:00;150
06.02.2020;11:00;150
06.02.2020;12:00;149
06.02.2020;13:00;151
06.02.2020;14:00;142
06.02.2020;15:00;144
06.02.2020;16:00;147
06.02.2020;17:00;151
06.02.2020;18:00;137
06.02.2020;19:00;152
06.02.2020;20:00;138
06.02.2020;21:00;136
06.02.2020;22:00;132
06.02.2020;23:00;136
07.02.2020;00:00;134
07.02.2020;01:00;134
07.02.2020;02:00;137
07.02.2020;03:00;141
07.02.2020;04:00;140
07.02.2020;05:00;141
07.02.2020;06:00;145
07.02.2020;07:00;151
07.02.2020;08:00;163
07.02.2020;09:00;157
07.02.2020;10:00;153
07.02.2020;11:00;152
07.02.2020;12:00;145
07.02.2020;13:00;142
07.02.2020;14:00;152
07.02.2020;15:00;156
07.02.2020;16:00;167
07.02.2020;17:00;168
07.02.2020;18:00;165
07.02.2020;19:00;165
07.02.2020;20:00;154
07.02.2020;21:00;154
07.02.2020;22:00;130
07.02.2020;23:00;139
08.02.2020;00:00;167
08.02.2020;01:00;167
08.02.2020;02:00;165
08.02.2020;03:00;166
08.02.2020;04:00;165
08.02.2020;05:00;169
08.02.2020;06:00;169
08.02.2020;07:00;169
08.02.2020;08:00;171
08.02.2020;09:00;172
08.02.2020;10:00;171
08.02.2020;11:00;171
08.02.2020;12:00;170
08.02.2020;13:00;164
08.02.2020;14:00;141
08.02.2020;15:00;131
08.02.2020;16:00;119
08.02.2020;17:00;131
08.02.2020;18:00;129
08.02.2020;19:00;129
08.02.2020;20:00;130
08.02.2020;21:00;131
08.02.2020;22:00;129
08.02.2020;23:00;124
09.02.2020;00:00;167
09.02.2020;01:00;169
09.02.2020;02:00;169
09.02.2020;03:00;168
09.02.2020;04:00;167
09.02.2020;05:00;168
09.02.2020;06:00;169
09.02.2020;07:00;169
09.02.2020;08:00;169
09.02.2020;09:00;169
09.02.2020;10:00;168
09.02.2020;11:00;167
09.02.2020;12:00;166
09.02.2020;13:00;155
09.02.2020;14:00;162
09.02.2020;15:00;161
09.02.2020;16:00;163
09.02.2020;17:00;146
09.02.2020;18:00;137
09.02.2020;19:00;140
09.02.2020;20:00;125
09.02.2020;21:00;130
09.02.2020;22:00;132
09.02.2020;23:00;130
10.02.2020;00:00;132
10.02.2020;01:00;132
10.02.2020;02:00;133
10.02.2020;03:00;133
10.02.2020;04:00;129
10.02.2020;05:00;125
10.02.2020;06:00;127
10.02.2020;07:00;125
10.02.2020;08:00;124
10.02.2020;09:00;120
10.02.2020;10:00;127
10.02.2020;11:00;125
10.02.2020;12:00;119
10.02.2020;13:00;119
10.02.2020;14:00;117
10.02.2020;15:00;116
10.02.2020;16:00;123
10.02.2020;17:00;135
10.02.2020;18:00;135
10.02.2020;19:00;125
10.02.2020;20:00;126
10.02.2020;21:00;116
10.02.2020;22:00;121
10.02.2020;23:00;116
11.02.2020;00:00;116
11.02.2020;01:00;116
11.02.2020;02:00;116
11.02.2020;03:00;124
11.02.2020;04:00;127
11.02.2020;05:00;125
11.02.2020;06:00;148
11.02.2020;07:00;145
11.02.2020;08:00;141
11.02.2020;09:00;141
11.02.2020;10:00;142
11.02.2020;11:00;135
11.02.2020;12:00;139
11.02.2020;13:00;136
11.02.2020;14:00;133
11.02.2020;15:00;139
11.02.2020;16:00;136
11.02.2020;17:00;136
