Datum;Uhrzeit;Generation_DE GT 3[MW];Generation_DE Block 4[MW];Generation_DE Block 3[MW]
30.01.2020;09:00;-;137;-
30.01.2020;10:00;-;136;-
30.01.2020;11:00;-;116;-
30.01.2020;12:00;-;107;-
30.01.2020;13:00;-;109;-
30.01.2020;14:00;-;104;-
30.01.2020;15:00;-;74;-
30.01.2020;16:00;-;59;-
30.01.2020;17:00;-;59;-
30.01.2020;18:00;-;60;-
30.01.2020;19:00;-;69;-
30.01.2020;20:00;-;61;-
30.01.2020;21:00;-;57;-
30.01.2020;22:00;-;60;-
30.01.2020;23:00;-;0;-
31.01.2020;00:00;-;119;-
31.01.2020;01:00;-;99;-
31.01.2020;02:00;-;111;-
31.01.2020;03:00;-;107;-
31.01.2020;04:00;-;106;-
31.01.2020;05:00;-;103;-
31.01.2020;06:00;-;107;-
31.01.2020;07:00;-;118;-
31.01.2020;08:00;-;110;-
31.01.2020;09:00;-;109;-
31.01.2020;10:00;-;136;-
31.01.2020;11:00;-;131;-
31.01.2020;12:00;-;114;-
31.01.2020;13:00;-;124;-
31.01.2020;14:00;-;128;-
31.01.2020;15:00;-;108;-
31.01.2020;16:00;-;108;-
31.01.2020;17:00;-;114;-
31.01.2020;18:00;-;109;-
31.01.2020;19:00;-;104;-
31.01.2020;20:00;-;114;-
31.01.2020;21:00;-;118;-
31.01.2020;22:00;-;117;-
31.01.2020;23:00;-;119;-
01.02.2020;00:00;-;122;-
01.02.2020;01:00;-;121;-
01.02.2020;02:00;-;115;-
01.02.2020;03:00;-;138;-
01.02.2020;04:00;-;129;-
01.02.2020;05:00;-;125;-
01.02.2020;06:00;-;115;-
01.02.2020;07:00;-;129;-
01.02.2020;08:00;-;129;-
01.02.2020;09:00;-;122;-
01.02.2020;10:00;-;131;-
01.02.2020;11:00;-;127;-
01.02.2020;12:00;-;114;-
01.02.2020;13:00;-;124;-
01.02.2020;14:00;-;123;-
01.02.2020;15:00;-;103;-
01.02.2020;16:00;-;118;-
01.02.2020;17:00;-;114;-
01.02.2020;18:00;-;127;-
01.02.2020;19:00;-;134;-
01.02.2020;20:00;-;122;-
01.02.2020;21:00;-;123;-
01.02.2020;22:00;-;134;-
01.02.2020;23:00;-;136;-
02.02.2020;00:00;-;135;-
02.02.2020;01:00;-;131;-
02.02.2020;02:00;-;125;-
02.02.2020;03:00;-;125;-
02.02.2020;04:00;-;123;-
02.02.2020;05:00;-;105;-
02.02.2020;06:00;-;117;-
02.02.2020;07:00;-;111;-
02.02.2020;08:00;-;115;-
02.02.2020;09:00;-;109;-
02.02.2020;10:00;-;98;-
02.02.2020;11:00;-;102;-
02.02.2020;12:00;-;96;-
02.02.2020;13:00;-;98;-
02.02.2020;14:00;-;120;-
02.02.2020;15:00;-;129;-
02.02.2020;16:00;-;115;-
02.02.2020;17:00;-;110;-
02.02.2020;18:00;-;120;-
02.02.2020;19:00;-;112;-
02.02.2020;20:00;-;116;-
02.02.2020;21:00;-;116;-
02.02.2020;22:00;-;124;-
02.02.2020;23:00;-;109;-
03.02.2020;00:00;-;0;-
03.02.2020;01:00;-;124;-
03.02.2020;02:00;-;117;-
03.02.2020;03:00;-;111;-
03.02.2020;04:00;-;121;-
03.02.2020;05:00;-;110;-
03.02.2020;06:00;-;103;-
03.02.2020;07:00;-;119;-
03.02.2020;08:00;-;84;-
03.02.2020;09:00;-;57;-
03.02.2020;10:00;-;71;-
03.02.2020;11:00;-;90;-
03.02.2020;12:00;-;89;-
03.02.2020;13:00;-;88;-
03.02.2020;14:00;-;95;-
