Datum;Uhrzeit;Generation_DE Block2[MW];Generation_DE Block1[MW]
05.02.2020;05:00;61;79
05.02.2020;06:00;75;85
05.02.2020;07:00;109;99
05.02.2020;08:00;116;115
05.02.2020;09:00;116;119
05.02.2020;10:00;112;102
05.02.2020;11:00;92;87
05.02.2020;12:00;85;84
05.02.2020;13:00;56;55
05.02.2020;14:00;50;50
05.02.2020;15:00;49;55
05.02.2020;16:00;49;57
05.02.2020;17:00;49;56
05.02.2020;18:00;60;64
05.02.2020;19:00;56;57
05.02.2020;20:00;57;57
05.02.2020;21:00;50;51
05.02.2020;22:00;50;49
05.02.2020;23:00;50;51
06.02.2020;00:00;52;64
06.02.2020;01:00;51;65
06.02.2020;02:00;50;65
06.02.2020;03:00;50;66
06.02.2020;04:00;50;75
06.02.2020;05:00;50;90
06.02.2020;06:00;59;99
06.02.2020;07:00;86;101
06.02.2020;08:00;99;118
06.02.2020;09:00;95;109
06.02.2020;10:00;57;68
06.02.2020;11:00;47;65
06.02.2020;12:00;46;73
06.02.2020;13:00;44;75
06.02.2020;14:00;44;66
06.02.2020;15:00;48;64
06.02.2020;16:00;76;81
06.02.2020;17:00;98;90
06.02.2020;18:00;114;108
06.02.2020;19:00;112;123
06.02.2020;20:00;106;115
06.02.2020;21:00;78;83
06.02.2020;22:00;51;52
06.02.2020;23:00;51;50
07.02.2020;00:00;50;51
07.02.2020;01:00;50;51
07.02.2020;02:00;51;50
07.02.2020;03:00;50;51
07.02.2020;04:00;52;67
07.02.2020;05:00;77;92
07.02.2020;06:00;108;112
07.02.2020;07:00;110;117
07.02.2020;08:00;129;129
07.02.2020;09:00;115;114
07.02.2020;10:00;94;101
07.02.2020;11:00;57;74
07.02.2020;12:00;50;69
07.02.2020;13:00;49;67
07.02.2020;14:00;50;66
07.02.2020;15:00;49;66
07.02.2020;16:00;51;50
07.02.2020;17:00;49;50
07.02.2020;18:00;49;51
07.02.2020;19:00;48;51
07.02.2020;20:00;50;48
07.02.2020;21:00;49;50
07.02.2020;22:00;51;51
07.02.2020;23:00;51;49
08.02.2020;00:00;50;54
08.02.2020;01:00;50;53
08.02.2020;02:00;51;53
08.02.2020;03:00;50;52
08.02.2020;04:00;52;50
08.02.2020;05:00;50;52
08.02.2020;06:00;51;53
08.02.2020;07:00;49;54
