Datum;Uhrzeit;Generation_DE Gas-und-Dampfturbinen Mitte[MW]
27.01.2020;18:00;407
27.01.2020;19:00;407
27.01.2020;20:00;407
27.01.2020;21:00;387
27.01.2020;22:00;388
27.01.2020;23:00;368
28.01.2020;00:00;368
28.01.2020;01:00;365
28.01.2020;02:00;366
28.01.2020;03:00;369
28.01.2020;04:00;368
28.01.2020;05:00;368
28.01.2020;06:00;374
28.01.2020;07:00;422
28.01.2020;08:00;425
28.01.2020;09:00;425
28.01.2020;10:00;422
28.01.2020;11:00;421
28.01.2020;12:00;394
28.01.2020;13:00;377
28.01.2020;14:00;382
28.01.2020;15:00;387
28.01.2020;16:00;425
28.01.2020;17:00;425
28.01.2020;18:00;425
28.01.2020;19:00;426
28.01.2020;20:00;426
28.01.2020;21:00;426
28.01.2020;22:00;427
28.01.2020;23:00;428
29.01.2020;00:00;428
29.01.2020;01:00;428
29.01.2020;02:00;429
29.01.2020;03:00;429
29.01.2020;04:00;429
29.01.2020;05:00;430
29.01.2020;06:00;430
29.01.2020;07:00;430
29.01.2020;08:00;430
29.01.2020;09:00;430
29.01.2020;10:00;430
29.01.2020;11:00;429
29.01.2020;12:00;402
29.01.2020;13:00;374
29.01.2020;14:00;372
29.01.2020;15:00;413
29.01.2020;16:00;432
29.01.2020;17:00;432
29.01.2020;18:00;434
29.01.2020;19:00;435
29.01.2020;20:00;436
29.01.2020;21:00;438
29.01.2020;22:00;437
29.01.2020;23:00;437
30.01.2020;00:00;436
30.01.2020;01:00;436
30.01.2020;02:00;437
30.01.2020;03:00;437
30.01.2020;04:00;437
30.01.2020;05:00;436
30.01.2020;06:00;435
30.01.2020;07:00;435
30.01.2020;08:00;436
30.01.2020;09:00;436
30.01.2020;10:00;434
30.01.2020;11:00;432
30.01.2020;12:00;431
30.01.2020;13:00;430
30.01.2020;14:00;429
30.01.2020;15:00;429
30.01.2020;16:00;429
30.01.2020;17:00;430
30.01.2020;18:00;430
30.01.2020;19:00;431
30.01.2020;20:00;431
30.01.2020;21:00;424
30.01.2020;22:00;411
30.01.2020;23:00;277
31.01.2020;00:00;201
31.01.2020;01:00;199
31.01.2020;02:00;180
31.01.2020;03:00;161
31.01.2020;04:00;164
31.01.2020;05:00;203
31.01.2020;06:00;270
31.01.2020;07:00;421
31.01.2020;08:00;421
31.01.2020;09:00;398
31.01.2020;10:00;343
31.01.2020;11:00;314
31.01.2020;12:00;314
31.01.2020;13:00;314
31.01.2020;14:00;314
31.01.2020;15:00;314
31.01.2020;16:00;314
31.01.2020;17:00;314
31.01.2020;18:00;314
31.01.2020;19:00;314
31.01.2020;20:00;314
31.01.2020;21:00;314
31.01.2020;22:00;314
31.01.2020;23:00;256
01.02.2020;00:00;147
01.02.2020;01:00;132
01.02.2020;02:00;131
01.02.2020;03:00;128
01.02.2020;04:00;127
01.02.2020;05:00;127
01.02.2020;06:00;127
01.02.2020;07:00;127
01.02.2020;08:00;149
01.02.2020;09:00;249
01.02.2020;10:00;298
01.02.2020;11:00;207
01.02.2020;12:00;140
01.02.2020;13:00;130
01.02.2020;14:00;130
01.02.2020;15:00;143
01.02.2020;16:00;244
01.02.2020;17:00;329
01.02.2020;18:00;329
01.02.2020;19:00;275
01.02.2020;20:00;131
01.02.2020;21:00;130
01.02.2020;22:00;131
01.02.2020;23:00;131
02.02.2020;00:00;131
02.02.2020;01:00;131
02.02.2020;02:00;131
02.02.2020;03:00;131
02.02.2020;04:00;131
02.02.2020;05:00;131
02.02.2020;06:00;136
02.02.2020;07:00;185
02.02.2020;08:00;228
02.02.2020;09:00;283
02.02.2020;10:00;365
02.02.2020;11:00;383
02.02.2020;12:00;397
02.02.2020;13:00;402
02.02.2020;14:00;402
02.02.2020;15:00;402
02.02.2020;16:00;403
02.02.2020;17:00;403
02.02.2020;18:00;403
02.02.2020;19:00;403
02.02.2020;20:00;403
02.02.2020;21:00;403
02.02.2020;22:00;400
02.02.2020;23:00;351
03.02.2020;00:00;305
03.02.2020;01:00;305
03.02.2020;02:00;304
03.02.2020;03:00;304
03.02.2020;04:00;304
03.02.2020;05:00;304
03.02.2020;06:00;351
03.02.2020;07:00;410
03.02.2020;08:00;421
03.02.2020;09:00;421
03.02.2020;10:00;421
03.02.2020;11:00;421
03.02.2020;12:00;402
03.02.2020;13:00;402
03.02.2020;14:00;403
03.02.2020;15:00;403
03.02.2020;16:00;393
03.02.2020;17:00;353
03.02.2020;18:00;353
03.02.2020;19:00;353
03.02.2020;20:00;352
03.02.2020;21:00;353
03.02.2020;22:00;353
03.02.2020;23:00;339
04.02.2020;00:00;305
04.02.2020;01:00;301
04.02.2020;02:00;256
04.02.2020;03:00;240
04.02.2020;04:00;250
04.02.2020;05:00;317
04.02.2020;06:00;397
04.02.2020;07:00;397
04.02.2020;08:00;396
04.02.2020;09:00;397
04.02.2020;10:00;396
04.02.2020;11:00;353
04.02.2020;12:00;329
04.02.2020;13:00;329
04.02.2020;14:00;328
04.02.2020;15:00;341
04.02.2020;16:00;402
04.02.2020;17:00;406
04.02.2020;18:00;406
04.02.2020;19:00;406
04.02.2020;20:00;368
04.02.2020;21:00;402
04.02.2020;22:00;401
04.02.2020;23:00;392
05.02.2020;00:00;343
05.02.2020;01:00;353
05.02.2020;02:00;353
05.02.2020;03:00;359
05.02.2020;04:00;439
05.02.2020;05:00;435
05.02.2020;06:00;431
05.02.2020;07:00;431
05.02.2020;08:00;431
05.02.2020;09:00;431
05.02.2020;10:00;431
05.02.2020;11:00;415
05.02.2020;12:00;376
05.02.2020;13:00;286
05.02.2020;14:00;339
05.02.2020;15:00;349
05.02.2020;16:00;349
05.02.2020;17:00;403
05.02.2020;18:00;417
05.02.2020;19:00;417
05.02.2020;20:00;415
05.02.2020;21:00;416
05.02.2020;22:00;378
05.02.2020;23:00;378
06.02.2020;00:00;371
06.02.2020;01:00;329
06.02.2020;02:00;329
06.02.2020;03:00;334
06.02.2020;04:00;363
06.02.2020;05:00;410
06.02.2020;06:00;432
06.02.2020;07:00;432
06.02.2020;08:00;431
06.02.2020;09:00;431
06.02.2020;10:00;430
06.02.2020;11:00;409
06.02.2020;12:00;373
06.02.2020;13:00;339
06.02.2020;14:00;339
06.02.2020;15:00;338
06.02.2020;16:00;336
06.02.2020;17:00;309
06.02.2020;18:00;309
06.02.2020;19:00;309
06.02.2020;20:00;306
06.02.2020;21:00;289
06.02.2020;22:00;305
06.02.2020;23:00;371
07.02.2020;00:00;388
07.02.2020;01:00;388
07.02.2020;02:00;384
07.02.2020;03:00;341
07.02.2020;04:00;340
07.02.2020;05:00;340
07.02.2020;06:00;339
07.02.2020;07:00;339
07.02.2020;08:00;355
07.02.2020;09:00;393
07.02.2020;10:00;408
07.02.2020;11:00;412
07.02.2020;12:00;412
07.02.2020;13:00;412
07.02.2020;14:00;412
07.02.2020;15:00;404
07.02.2020;16:00;371
07.02.2020;17:00;345
07.02.2020;18:00;343
07.02.2020;19:00;314
07.02.2020;20:00;314
07.02.2020;21:00;287
07.02.2020;22:00;255
07.02.2020;23:00;264
08.02.2020;00:00;304
08.02.2020;01:00;304
08.02.2020;02:00;309
08.02.2020;03:00;358
08.02.2020;04:00;402
08.02.2020;05:00;434
08.02.2020;06:00;436
08.02.2020;07:00;436
08.02.2020;08:00;436
08.02.2020;09:00;436
08.02.2020;10:00;434
08.02.2020;11:00;421
08.02.2020;12:00;366
08.02.2020;13:00;323
08.02.2020;14:00;305
08.02.2020;15:00;304
08.02.2020;16:00;305
08.02.2020;17:00;337
08.02.2020;18:00;372
