Datum;Uhrzeit;Generation_DE Block 3[MW];Generation_DE Block 4[MW];Generation_DE Block 5[MW]
16.01.2020;20:00;-;57;177
16.01.2020;21:00;-;53;183
16.01.2020;22:00;-;46;170
16.01.2020;23:00;-;70;204
17.01.2020;00:00;-;64;218
17.01.2020;01:00;-;51;175
17.01.2020;02:00;-;47;191
17.01.2020;03:00;-;49;183
17.01.2020;04:00;-;54;179
17.01.2020;05:00;-;48;184
17.01.2020;06:00;-;58;209
17.01.2020;07:00;-;74;212
17.01.2020;08:00;-;75;214
17.01.2020;09:00;-;75;216
17.01.2020;10:00;-;62;215
17.01.2020;11:00;-;79;215
17.01.2020;12:00;-;79;217
17.01.2020;13:00;-;61;216
17.01.2020;14:00;-;64;210
17.01.2020;15:00;-;67;216
17.01.2020;16:00;-;68;217
17.01.2020;17:00;-;66;204
17.01.2020;18:00;-;61;197
17.01.2020;19:00;-;65;202
17.01.2020;20:00;-;41;173
17.01.2020;21:00;-;43;149
17.01.2020;22:00;-;45;149
17.01.2020;23:00;-;47;150
18.01.2020;00:00;-;42;158
18.01.2020;01:00;-;38;148
18.01.2020;02:00;-;40;142
18.01.2020;03:00;-;36;135
18.01.2020;04:00;-;40;118
18.01.2020;05:00;-;41;128
18.01.2020;06:00;-;44;155
18.01.2020;07:00;-;43;138
18.01.2020;08:00;-;46;149
18.01.2020;09:00;-;47;146
18.01.2020;10:00;-;41;123
18.01.2020;11:00;-;44;114
18.01.2020;12:00;-;41;131
18.01.2020;13:00;-;44;135
18.01.2020;14:00;-;43;124
18.01.2020;15:00;-;46;145
18.01.2020;16:00;-;43;146
18.01.2020;17:00;-;51;161
18.01.2020;18:00;-;45;161
18.01.2020;19:00;-;48;154
18.01.2020;20:00;-;51;149
18.01.2020;21:00;-;48;163
18.01.2020;22:00;-;47;150
18.01.2020;23:00;-;44;156
19.01.2020;00:00;-;49;151
19.01.2020;01:00;-;52;156
19.01.2020;02:00;-;43;160
19.01.2020;03:00;-;51;159
19.01.2020;04:00;-;65;166
19.01.2020;05:00;-;72;202
19.01.2020;06:00;-;61;188
19.01.2020;07:00;-;70;207
19.01.2020;08:00;-;73;211
19.01.2020;09:00;-;74;204
19.01.2020;10:00;-;81;212
19.01.2020;11:00;-;80;216
19.01.2020;12:00;-;80;216
19.01.2020;13:00;-;77;221
19.01.2020;14:00;-;76;220
19.01.2020;15:00;-;75;214
19.01.2020;16:00;-;66;201
19.01.2020;17:00;-;57;209
19.01.2020;18:00;-;66;206
19.01.2020;19:00;-;65;207
19.01.2020;20:00;-;53;210
19.01.2020;21:00;-;52;208
19.01.2020;22:00;-;53;210
19.01.2020;23:00;-;56;215
20.01.2020;00:00;-;69;205
20.01.2020;01:00;-;78;207
20.01.2020;02:00;-;70;209
20.01.2020;03:00;-;79;206
20.01.2020;04:00;-;85;210
20.01.2020;05:00;-;82;211
20.01.2020;06:00;-;59;216
20.01.2020;07:00;-;46;215
20.01.2020;08:00;-;66;212
20.01.2020;09:00;-;70;208
20.01.2020;10:00;-;76;212
20.01.2020;11:00;-;78;211
20.01.2020;12:00;-;77;217
20.01.2020;13:00;-;72;213
20.01.2020;14:00;-;84;219
20.01.2020;15:00;-;83;216
20.01.2020;16:00;-;67;213
20.01.2020;17:00;-;48;209
20.01.2020;18:00;-;49;211
20.01.2020;19:00;-;41;219
20.01.2020;20:00;-;55;220
20.01.2020;21:00;-;54;216
20.01.2020;22:00;-;54;220
20.01.2020;23:00;-;62;218
21.01.2020;00:00;-;77;216
21.01.2020;01:00;-;61;199
21.01.2020;02:00;-;57;203
21.01.2020;03:00;-;50;185
21.01.2020;04:00;-;55;203
21.01.2020;05:00;-;53;214
21.01.2020;06:00;-;53;215
21.01.2020;07:00;-;69;207
21.01.2020;08:00;-;64;210
21.01.2020;09:00;-;53;198
21.01.2020;10:00;-;40;160
21.01.2020;11:00;-;39;144
21.01.2020;12:00;-;50;191
21.01.2020;13:00;-;53;205
21.01.2020;14:00;-;48;212
21.01.2020;15:00;-;50;225
21.01.2020;16:00;-;79;218
21.01.2020;17:00;-;83;218
21.01.2020;18:00;-;80;219
21.01.2020;19:00;-;82;223
21.01.2020;20:00;-;81;220
21.01.2020;21:00;-;81;219
21.01.2020;22:00;-;82;220
21.01.2020;23:00;-;84;217
22.01.2020;00:00;-;-;-
22.01.2020;01:00;-;-;-
22.01.2020;02:00;-;-;-
22.01.2020;03:00;-;-;-
22.01.2020;04:00;-;-;-
22.01.2020;05:00;-;-;-
22.01.2020;06:00;-;-;-
22.01.2020;07:00;-;-;-
22.01.2020;08:00;-;-;-
22.01.2020;09:00;-;-;-
22.01.2020;10:00;-;-;-
22.01.2020;11:00;-;-;-
22.01.2020;12:00;-;-;-
22.01.2020;13:00;-;-;-
22.01.2020;14:00;-;-;-
22.01.2020;15:00;-;-;-
22.01.2020;16:00;-;-;-
22.01.2020;17:00;-;-;-
22.01.2020;18:00;-;-;-
22.01.2020;19:00;-;-;-
22.01.2020;20:00;-;-;-
22.01.2020;21:00;-;-;-
22.01.2020;22:00;-;-;-
22.01.2020;23:00;-;-;-
23.01.2020;00:00;-;39;184
23.01.2020;01:00;-;48;163
23.01.2020;02:00;-;49;150
23.01.2020;03:00;-;37;130
23.01.2020;04:00;-;41;141
23.01.2020;05:00;-;37;119
23.01.2020;06:00;-;41;114
23.01.2020;07:00;-;42;118
23.01.2020;08:00;-;36;126
23.01.2020;09:00;-;42;139
23.01.2020;10:00;-;40;116
23.01.2020;11:00;-;44;121
23.01.2020;12:00;-;40;137
23.01.2020;13:00;-;42;144
23.01.2020;14:00;-;39;144
23.01.2020;15:00;-;39;155
23.01.2020;16:00;-;43;168
23.01.2020;17:00;-;42;156
23.01.2020;18:00;-;54;163
23.01.2020;19:00;-;50;176
23.01.2020;20:00;-;71;204
23.01.2020;21:00;-;46;192
23.01.2020;22:00;-;43;201
23.01.2020;23:00;-;39;190
24.01.2020;00:00;-;39;178
24.01.2020;01:00;-;37;165
24.01.2020;02:00;-;51;197
24.01.2020;03:00;-;42;178
24.01.2020;04:00;-;41;176
24.01.2020;05:00;-;38;151
24.01.2020;06:00;-;39;174
24.01.2020;07:00;-;49;185
24.01.2020;08:00;-;38;198
24.01.2020;09:00;-;48;200
24.01.2020;10:00;-;71;204
24.01.2020;11:00;-;45;175
24.01.2020;12:00;-;50;192
24.01.2020;13:00;-;56;206
24.01.2020;14:00;-;44;218
