Datum;Uhrzeit;Generation_DE A[MW];Generation_DE B[MW]
29.01.2020;22:00;596;714
29.01.2020;23:00;539;579
30.01.2020;00:00;545;633
30.01.2020;01:00;495;623
30.01.2020;02:00;271;416
30.01.2020;03:00;258;297
30.01.2020;04:00;254;299
30.01.2020;05:00;284;351
30.01.2020;06:00;510;548
30.01.2020;07:00;484;531
30.01.2020;08:00;414;476
30.01.2020;09:00;388;449
30.01.2020;10:00;379;432
30.01.2020;11:00;362;420
30.01.2020;12:00;364;393
30.01.2020;13:00;385;417
30.01.2020;14:00;457;499
30.01.2020;15:00;500;555
30.01.2020;16:00;530;595
30.01.2020;17:00;567;617
30.01.2020;18:00;558;625
30.01.2020;19:00;528;605
30.01.2020;20:00;381;416
30.01.2020;21:00;299;338
30.01.2020;22:00;288;333
30.01.2020;23:00;259;319
31.01.2020;00:00;241;241
31.01.2020;01:00;237;276
31.01.2020;02:00;127;295
31.01.2020;03:00;128;288
31.01.2020;04:00;142;288
31.01.2020;05:00;262;288
31.01.2020;06:00;389;397
31.01.2020;07:00;670;680
31.01.2020;08:00;727;715
31.01.2020;09:00;696;689
31.01.2020;10:00;683;675
31.01.2020;11:00;684;679
31.01.2020;12:00;633;638
31.01.2020;13:00;624;617
31.01.2020;14:00;632;635
31.01.2020;15:00;709;723
31.01.2020;16:00;706;730
31.01.2020;17:00;687;728
31.01.2020;18:00;617;680
31.01.2020;19:00;582;617
31.01.2020;20:00;518;474
31.01.2020;21:00;317;227
31.01.2020;22:00;0;327
31.01.2020;23:00;0;256
01.02.2020;00:00;0;227
01.02.2020;01:00;0;224
01.02.2020;02:00;0;213
01.02.2020;03:00;0;234
01.02.2020;04:00;0;217
01.02.2020;05:00;0;228
01.02.2020;06:00;0;223
01.02.2020;07:00;0;221
01.02.2020;08:00;0;222
01.02.2020;09:00;0;226
01.02.2020;10:00;0;219
01.02.2020;11:00;0;223
01.02.2020;12:00;0;213
01.02.2020;13:00;0;215
01.02.2020;14:00;0;208
01.02.2020;15:00;0;210
01.02.2020;16:00;0;219
01.02.2020;17:00;0;221
01.02.2020;18:00;0;239
01.02.2020;19:00;0;221
01.02.2020;20:00;0;223
01.02.2020;21:00;0;224
01.02.2020;22:00;0;211
01.02.2020;23:00;0;218
02.02.2020;00:00;0;226
02.02.2020;01:00;0;241
02.02.2020;02:00;0;244
02.02.2020;03:00;0;250
02.02.2020;04:00;0;256
02.02.2020;05:00;0;255
02.02.2020;06:00;0;258
02.02.2020;07:00;0;260
02.02.2020;08:00;0;331
02.02.2020;09:00;0;667
02.02.2020;10:00;0;723
02.02.2020;11:00;0;722
02.02.2020;12:00;0;725
02.02.2020;13:00;0;727
02.02.2020;14:00;0;721
02.02.2020;15:00;0;721
02.02.2020;16:00;0;723
02.02.2020;17:00;0;723
02.02.2020;18:00;0;717
02.02.2020;19:00;0;719
02.02.2020;20:00;0;722
02.02.2020;21:00;0;728
02.02.2020;22:00;0;617
02.02.2020;23:00;0;456
03.02.2020;00:00;0;324
03.02.2020;01:00;0;414
03.02.2020;02:00;0;311
03.02.2020;03:00;0;322
03.02.2020;04:00;0;402
03.02.2020;05:00;256;379
03.02.2020;06:00;389;573
03.02.2020;07:00;460;710
03.02.2020;08:00;614;718
03.02.2020;09:00;667;720
03.02.2020;10:00;663;720
03.02.2020;11:00;656;725
03.02.2020;12:00;599;721
03.02.2020;13:00;669;718
03.02.2020;14:00;669;718
03.02.2020;15:00;685;722
03.02.2020;16:00;657;709
03.02.2020;17:00;662;703
03.02.2020;18:00;683;725
03.02.2020;19:00;702;723
03.02.2020;20:00;682;717
03.02.2020;21:00;685;721
03.02.2020;22:00;665;719
03.02.2020;23:00;656;713
04.02.2020;00:00;606;611
04.02.2020;01:00;593;593
04.02.2020;02:00;452;502
04.02.2020;03:00;252;306
04.02.2020;04:00;264;306
04.02.2020;05:00;302;400
04.02.2020;06:00;627;682
04.02.2020;07:00;691;714
04.02.2020;08:00;694;709
04.02.2020;09:00;705;716
04.02.2020;10:00;693;716
04.02.2020;11:00;679;716
04.02.2020;12:00;494;655
04.02.2020;13:00;446;464
04.02.2020;14:00;501;540
04.02.2020;15:00;647;701
04.02.2020;16:00;664;708
04.02.2020;17:00;653;692
04.02.2020;18:00;595;656
04.02.2020;19:00;640;698
04.02.2020;20:00;493;605
04.02.2020;21:00;335;561
04.02.2020;22:00;239;413
04.02.2020;23:00;226;289
05.02.2020;00:00;116;320
05.02.2020;01:00;123;322
05.02.2020;02:00;117;317
05.02.2020;03:00;146;336
05.02.2020;04:00;281;517
05.02.2020;05:00;503;655
05.02.2020;06:00;694;726
05.02.2020;07:00;695;720
05.02.2020;08:00;705;716
05.02.2020;09:00;708;719
05.02.2020;10:00;699;705
05.02.2020;11:00;700;720
05.02.2020;12:00;687;696
05.02.2020;13:00;662;676
05.02.2020;14:00;651;686
05.02.2020;15:00;651;692
05.02.2020;16:00;677;713
05.02.2020;17:00;672;705
05.02.2020;18:00;685;711
05.02.2020;19:00;686;710
05.02.2020;20:00;703;705
05.02.2020;21:00;707;705
05.02.2020;22:00;702;714
05.02.2020;23:00;695;714
06.02.2020;00:00;685;713
06.02.2020;01:00;652;673
06.02.2020;02:00;447;580
06.02.2020;03:00;474;614
06.02.2020;04:00;602;711
06.02.2020;05:00;689;719
06.02.2020;06:00;692;721
06.02.2020;07:00;694;716
06.02.2020;08:00;704;723
06.02.2020;09:00;702;723
06.02.2020;10:00;706;719
06.02.2020;11:00;700;719
06.02.2020;12:00;694;713
06.02.2020;13:00;698;718
06.02.2020;14:00;658;699
06.02.2020;15:00;667;697
06.02.2020;16:00;666;631
06.02.2020;17:00;645;691
06.02.2020;18:00;663;709
06.02.2020;19:00;666;712
06.02.2020;20:00;668;714
06.02.2020;21:00;662;698
06.02.2020;22:00;664;702
06.02.2020;23:00;676;715
07.02.2020;00:00;674;709
07.02.2020;01:00;679;711
07.02.2020;02:00;676;713
07.02.2020;03:00;682;717
07.02.2020;04:00;681;714
07.02.2020;05:00;687;712
07.02.2020;06:00;694;714
07.02.2020;07:00;691;721
07.02.2020;08:00;700;732
07.02.2020;09:00;675;719
07.02.2020;10:00;687;724
07.02.2020;11:00;670;708
07.02.2020;12:00;703;724
07.02.2020;13:00;703;636
07.02.2020;14:00;697;718
07.02.2020;15:00;652;701
07.02.2020;16:00;671;725
07.02.2020;17:00;672;722
07.02.2020;18:00;678;728
07.02.2020;19:00;679;724
07.02.2020;20:00;672;718
07.02.2020;21:00;665;703
07.02.2020;22:00;676;715
07.02.2020;23:00;668;713
08.02.2020;00:00;636;658
08.02.2020;01:00;401;453
08.02.2020;02:00;261;311
08.02.2020;03:00;268;309
08.02.2020;04:00;280;283
08.02.2020;05:00;281;272
08.02.2020;06:00;288;314
08.02.2020;07:00;455;500
08.02.2020;08:00;575;704
