Datum;Uhrzeit;Generation_DE B[MW];Generation_DE C[MW];Generation_DE F[MW];Generation_DE E[MW];Generation_DE D[MW]
20.01.2020;05:00;196;146;-;-;-
20.01.2020;06:00;206;163;-;-;-
20.01.2020;07:00;225;243;-;-;-
20.01.2020;08:00;188;174;-;-;-
20.01.2020;09:00;185;170;-;-;-
20.01.2020;10:00;191;168;-;-;-
20.01.2020;11:00;253;236;-;-;-
20.01.2020;12:00;229;194;-;-;-
20.01.2020;13:00;224;185;-;-;-
20.01.2020;14:00;224;186;-;-;-
20.01.2020;15:00;224;186;-;-;-
20.01.2020;16:00;229;194;-;-;-
20.01.2020;17:00;256;249;-;-;-
20.01.2020;18:00;271;262;-;-;-
20.01.2020;19:00;271;262;-;-;-
20.01.2020;20:00;259;246;-;-;-
20.01.2020;21:00;216;211;-;-;-
20.01.2020;22:00;207;198;-;-;-
20.01.2020;23:00;205;196;-;-;-
21.01.2020;00:00;201;198;-;-;-
21.01.2020;01:00;196;195;-;-;-
21.01.2020;02:00;195;197;-;-;-
21.01.2020;03:00;196;136;-;-;-
21.01.2020;04:00;196;148;-;-;-
21.01.2020;05:00;197;199;-;-;-
21.01.2020;06:00;233;232;-;-;-
21.01.2020;07:00;234;233;-;-;-
21.01.2020;08:00;233;234;-;-;-
21.01.2020;09:00;270;196;-;-;-
21.01.2020;10:00;280;197;-;-;-
21.01.2020;11:00;282;190;-;-;-
21.01.2020;12:00;276;199;-;-;-
21.01.2020;13:00;236;239;-;-;-
21.01.2020;14:00;234;256;-;-;-
21.01.2020;15:00;238;244;-;-;-
21.01.2020;16:00;283;286;-;-;-
21.01.2020;17:00;299;300;-;-;-
21.01.2020;18:00;298;300;-;-;-
21.01.2020;19:00;298;291;-;-;-
21.01.2020;20:00;262;254;-;-;-
21.01.2020;21:00;244;255;-;-;-
21.01.2020;22:00;242;255;-;-;-
21.01.2020;23:00;242;253;-;-;-
22.01.2020;00:00;212;210;-;-;-
22.01.2020;01:00;205;206;-;-;-
22.01.2020;02:00;205;206;-;-;-
22.01.2020;03:00;207;204;-;-;-
22.01.2020;04:00;215;206;-;-;-
22.01.2020;05:00;215;204;-;-;-
22.01.2020;06:00;215;207;-;-;-
22.01.2020;07:00;215;206;-;-;-
22.01.2020;08:00;227;191;-;-;-
22.01.2020;09:00;233;187;-;-;-
22.01.2020;10:00;233;187;-;-;-
22.01.2020;11:00;233;188;-;-;-
22.01.2020;12:00;254;229;-;-;-
22.01.2020;13:00;271;281;-;-;-
22.01.2020;14:00;272;290;-;-;-
22.01.2020;15:00;270;290;-;-;-
22.01.2020;16:00;272;291;-;-;-
22.01.2020;17:00;278;289;-;-;-
22.01.2020;18:00;279;291;-;-;-
22.01.2020;19:00;254;285;-;-;-
22.01.2020;20:00;229;217;-;-;-
22.01.2020;21:00;224;206;-;-;-
22.01.2020;22:00;225;205;-;-;-
22.01.2020;23:00;225;206;-;-;-
23.01.2020;00:00;225;206;-;-;-
23.01.2020;01:00;224;206;-;-;-
23.01.2020;02:00;224;181;-;-;-
23.01.2020;03:00;223;169;-;-;-
23.01.2020;04:00;223;183;-;-;-
23.01.2020;05:00;227;206;-;-;-
23.01.2020;06:00;229;223;-;-;-
23.01.2020;07:00;280;264;-;-;-
23.01.2020;08:00;282;282;-;-;-
23.01.2020;09:00;282;283;-;-;-
23.01.2020;10:00;281;283;-;-;-
23.01.2020;11:00;282;282;-;-;-
23.01.2020;12:00;281;283;-;-;-
23.01.2020;13:00;281;283;-;-;-
23.01.2020;14:00;282;282;-;-;-
23.01.2020;15:00;280;282;-;-;-
