Datum,Uhrzeit,Gesamt[MWh]
07.01.2020,22:45,14356
07.01.2020,23:00,14099
07.01.2020,23:15,13954
07.01.2020,23:30,13753
07.01.2020,23:45,13538
08.01.2020,00:00,13335
08.01.2020,00:15,13190
08.01.2020,00:30,13088
08.01.2020,00:45,13080
08.01.2020,01:00,12926
08.01.2020,01:15,12807
08.01.2020,01:30,12771
08.01.2020,01:45,12687
08.01.2020,02:00,12632
08.01.2020,02:15,12594
08.01.2020,02:30,12542
08.01.2020,02:45,12641
08.01.2020,03:00,12621
08.01.2020,03:15,12668
08.01.2020,03:30,12709
08.01.2020,03:45,12724
08.01.2020,04:00,12803
08.01.2020,04:15,12908
08.01.2020,04:30,13033
08.01.2020,04:45,13170
08.01.2020,05:00,13497
08.01.2020,05:15,13609
08.01.2020,05:30,13910
08.01.2020,05:45,14288
08.01.2020,06:00,14842
08.01.2020,06:15,15365
08.01.2020,06:30,15815
08.01.2020,06:45,16223
08.01.2020,07:00,16744
08.01.2020,07:15,17089
08.01.2020,07:30,17377
08.01.2020,07:45,17612
08.01.2020,08:00,17892
08.01.2020,08:15,18027
08.01.2020,08:30,18048
08.01.2020,08:45,17979
08.01.2020,09:00,17850
08.01.2020,09:15,17949
08.01.2020,09:30,18009
08.01.2020,09:45,18058
08.01.2020,10:00,18145
08.01.2020,10:15,18195
08.01.2020,10:30,18189
08.01.2020,10:45,18205
08.01.2020,11:00,18157
08.01.2020,11:15,18203
08.01.2020,11:30,18293
08.01.2020,11:45,18315
08.01.2020,12:00,18153
08.01.2020,12:15,18174
08.01.2020,12:30,18169
08.01.2020,12:45,18135
08.01.2020,13:00,18157
08.01.2020,13:15,18107
08.01.2020,13:30,17971
08.01.2020,13:45,17791
08.01.2020,14:00,17802
08.01.2020,14:15,17703
08.01.2020,14:30,17625
08.01.2020,14:45,17552
08.01.2020,15:00,17514
08.01.2020,15:15,17486
08.01.2020,15:30,17391
08.01.2020,15:45,17339
08.01.2020,16:00,17271
08.01.2020,16:15,17259
08.01.2020,16:30,17409
08.01.2020,16:45,17543
08.01.2020,17:00,17691
08.01.2020,17:15,17729
08.01.2020,17:30,17710
08.01.2020,17:45,17715
08.01.2020,18:00,17639
08.01.2020,18:15,17544
08.01.2020,18:30,17508
08.01.2020,18:45,17464
08.01.2020,19:00,17331
08.01.2020,19:15,17156
08.01.2020,19:30,16975
08.01.2020,19:45,16820
08.01.2020,20:00,16490
08.01.2020,20:15,16197
08.01.2020,20:30,15887
08.01.2020,20:45,15707
08.01.2020,21:00,15488
08.01.2020,21:15,15253
08.01.2020,21:30,14987
08.01.2020,21:45,14783
08.01.2020,22:00,14755
08.01.2020,22:15,14563
08.01.2020,22:30,14227
08.01.2020,22:45,13972
08.01.2020,23:00,13643
08.01.2020,23:15,13382
08.01.2020,23:30,13153
08.01.2020,23:45,12976
09.01.2020,00:00,12649
09.01.2020,00:15,12425
09.01.2020,00:30,12167
09.01.2020,00:45,12080
09.01.2020,01:00,11898
09.01.2020,01:15,11800
09.01.2020,01:30,11840
09.01.2020,01:45,11791
09.01.2020,02:00,11745
09.01.2020,02:15,11758
09.01.2020,02:30,11804
09.01.2020,02:45,11787
09.01.2020,03:00,11788
09.01.2020,03:15,11823
09.01.2020,03:30,11855
09.01.2020,03:45,11957
09.01.2020,04:00,12188
09.01.2020,04:15,12330
09.01.2020,04:30,12344
09.01.2020,04:45,12478
09.01.2020,05:00,13040
09.01.2020,05:15,13230
09.01.2020,05:30,13477
09.01.2020,05:45,13883
09.01.2020,06:00,14808
09.01.2020,06:15,15384
09.01.2020,06:30,15850
09.01.2020,06:45,16184
09.01.2020,07:00,16611
09.01.2020,07:15,16936
09.01.2020,07:30,17110
09.01.2020,07:45,17341
09.01.2020,08:00,17513
09.01.2020,08:15,17620
09.01.2020,08:30,17629
09.01.2020,08:45,17652
09.01.2020,09:00,17605
09.01.2020,09:15,17688
09.01.2020,09:30,17787
09.01.2020,09:45,17807
09.01.2020,10:00,17753
09.01.2020,10:15,17841
09.01.2020,10:30,17954
09.01.2020,10:45,18043
09.01.2020,11:00,17937
09.01.2020,11:15,17939
09.01.2020,11:30,17907
09.01.2020,11:45,17832
09.01.2020,12:00,17826
09.01.2020,12:15,17801
09.01.2020,12:30,17841
09.01.2020,12:45,17894
09.01.2020,13:00,17959
09.01.2020,13:15,17956
09.01.2020,13:30,17888
09.01.2020,13:45,17684
09.01.2020,14:00,17534
09.01.2020,14:15,17399
09.01.2020,14:30,17357
09.01.2020,14:45,17343
09.01.2020,15:00,17362
09.01.2020,15:15,17380
09.01.2020,15:30,17364
09.01.2020,15:45,17295
09.01.2020,16:00,17375
09.01.2020,16:15,17365
09.01.2020,16:30,17407
09.01.2020,16:45,17627
09.01.2020,17:00,17874
09.01.2020,17:15,17943
09.01.2020,17:30,18039
09.01.2020,17:45,18092
09.01.2020,18:00,18002
09.01.2020,18:15,17909
09.01.2020,18:30,17855
09.01.2020,18:45,17802
09.01.2020,19:00,17676
09.01.2020,19:15,17496
09.01.2020,19:30,17246
09.01.2020,19:45,17146
09.01.2020,20:00,16813
09.01.2020,20:15,16556
09.01.2020,20:30,16400
09.01.2020,20:45,16093
09.01.2020,21:00,15863
09.01.2020,21:15,15673
09.01.2020,21:30,15341
09.01.2020,21:45,15090
09.01.2020,22:00,14987
09.01.2020,22:15,14734
09.01.2020,22:30,14402
09.01.2020,22:45,14066
09.01.2020,23:00,13836
09.01.2020,23:15,13535
09.01.2020,23:30,13314
09.01.2020,23:45,13226
10.01.2020,00:00,12913
10.01.2020,00:15,12622
10.01.2020,00:30,12556
10.01.2020,00:45,12391
10.01.2020,01:00,12349
10.01.2020,01:15,12223
10.01.2020,01:30,12217
10.01.2020,01:45,12184
10.01.2020,02:00,12106
10.01.2020,02:15,12021
10.01.2020,02:30,12065
10.01.2020,02:45,12086
10.01.2020,03:00,12151
10.01.2020,03:15,12196
10.01.2020,03:30,12256
10.01.2020,03:45,12292
10.01.2020,04:00,12413
10.01.2020,04:15,12591
10.01.2020,04:30,12755
10.01.2020,04:45,12851
10.01.2020,05:00,13114
10.01.2020,05:15,13266
10.01.2020,05:30,13439
10.01.2020,05:45,13876
10.01.2020,06:00,14554
10.01.2020,06:15,15088
10.01.2020,06:30,15541
10.01.2020,06:45,15924
10.01.2020,07:00,16405
10.01.2020,07:15,16694
10.01.2020,07:30,17061
10.01.2020,07:45,17219
10.01.2020,08:00,17337
10.01.2020,08:15,17333
10.01.2020,08:30,17396
10.01.2020,08:45,17402
10.01.2020,09:00,17294
10.01.2020,09:15,17486
10.01.2020,09:30,17613
10.01.2020,09:45,17615
10.01.2020,10:00,17619
10.01.2020,10:15,17588
10.01.2020,10:30,17546
10.01.2020,10:45,17625
10.01.2020,11:00,17692
10.01.2020,11:15,17727
10.01.2020,11:30,17694
10.01.2020,11:45,17738
10.01.2020,12:00,17672
10.01.2020,12:15,17705
10.01.2020,12:30,17792
10.01.2020,12:45,17874
10.01.2020,13:00,17590
10.01.2020,13:15,17447
10.01.2020,13:30,17328
10.01.2020,13:45,17136
10.01.2020,14:00,17060
10.01.2020,14:15,16865
10.01.2020,14:30,16782
10.01.2020,14:45,16744
