Datum,Uhrzeit,Generation_DE Iffezheim M10M5[MW]
06.02.2020,00:00,96
06.02.2020,01:00,96
06.02.2020,02:00,96
06.02.2020,03:00,95
06.02.2020,04:00,94
06.02.2020,05:00,95
06.02.2020,06:00,96
06.02.2020,07:00,97
06.02.2020,08:00,97
06.02.2020,09:00,98
06.02.2020,10:00,98
06.02.2020,11:00,99
06.02.2020,12:00,99
06.02.2020,13:00,99
06.02.2020,14:00,99
06.02.2020,15:00,100
06.02.2020,16:00,100
06.02.2020,17:00,100
06.02.2020,18:00,100
06.02.2020,19:00,100
06.02.2020,20:00,101
06.02.2020,21:00,102
06.02.2020,22:00,101
06.02.2020,23:00,100
07.02.2020,00:00,101
07.02.2020,01:00,101
07.02.2020,02:00,101
07.02.2020,03:00,102
07.02.2020,04:00,102
07.02.2020,05:00,102
07.02.2020,06:00,98
07.02.2020,07:00,102
07.02.2020,08:00,102
07.02.2020,09:00,103
07.02.2020,10:00,104
07.02.2020,11:00,104
07.02.2020,12:00,103
07.02.2020,13:00,103
07.02.2020,14:00,104
07.02.2020,15:00,104
07.02.2020,16:00,104
07.02.2020,17:00,104
07.02.2020,18:00,104
07.02.2020,19:00,104
07.02.2020,20:00,104
07.02.2020,21:00,104
07.02.2020,22:00,104
07.02.2020,23:00,106
08.02.2020,00:00,106
08.02.2020,01:00,106
08.02.2020,02:00,107
08.02.2020,03:00,107
08.02.2020,04:00,108
08.02.2020,05:00,108
08.02.2020,06:00,107
08.02.2020,07:00,107
08.02.2020,08:00,103
08.02.2020,09:00,106
08.02.2020,10:00,106
08.02.2020,11:00,107
08.02.2020,12:00,108
08.02.2020,13:00,108
08.02.2020,14:00,108
08.02.2020,15:00,108
08.02.2020,16:00,109
08.02.2020,17:00,108
08.02.2020,18:00,108
08.02.2020,19:00,108
08.02.2020,20:00,108
08.02.2020,21:00,108
08.02.2020,22:00,108
08.02.2020,23:00,108
09.02.2020,00:00,108
09.02.2020,01:00,109
09.02.2020,02:00,109
09.02.2020,03:00,109
09.02.2020,04:00,109
09.02.2020,05:00,109
09.02.2020,06:00,109
09.02.2020,07:00,109
09.02.2020,08:00,109
09.02.2020,09:00,108
09.02.2020,10:00,102
09.02.2020,11:00,58
09.02.2020,12:00,38
09.02.2020,13:00,38
09.02.2020,14:00,37
09.02.2020,15:00,37
09.02.2020,16:00,37
