Datum,Uhrzeit,Generation_DE Heizkraftwerk Dresden0Nossener Brücke 
(3 GT + 1 DT, Sammelschiene)[MW]
31.01.2020,23:00,120
01.02.2020,00:00,95
01.02.2020,01:00,96
01.02.2020,02:00,96
01.02.2020,03:00,96
01.02.2020,04:00,96
01.02.2020,05:00,95
01.02.2020,06:00,95
01.02.2020,07:00,96
01.02.2020,08:00,116
01.02.2020,09:00,151
01.02.2020,10:00,138
01.02.2020,11:00,77
01.02.2020,12:00,77
01.02.2020,13:00,77
01.02.2020,14:00,77
01.02.2020,15:00,76
01.02.2020,16:00,114
01.02.2020,17:00,132
01.02.2020,18:00,151
01.02.2020,19:00,114
01.02.2020,20:00,76
01.02.2020,21:00,76
01.02.2020,22:00,76
01.02.2020,23:00,77
02.02.2020,00:00,97
02.02.2020,01:00,96
02.02.2020,02:00,97
02.02.2020,03:00,97
02.02.2020,04:00,97
02.02.2020,05:00,97
02.02.2020,06:00,96
02.02.2020,07:00,96
02.02.2020,08:00,115
02.02.2020,09:00,161
02.02.2020,10:00,199
02.02.2020,11:00,231
02.02.2020,12:00,231
02.02.2020,13:00,231
02.02.2020,14:00,232
02.02.2020,15:00,241
02.02.2020,16:00,242
02.02.2020,17:00,243
02.02.2020,18:00,242
02.02.2020,19:00,243
02.02.2020,20:00,242
02.02.2020,21:00,240
02.02.2020,22:00,232
02.02.2020,23:00,223
03.02.2020,00:00,222
03.02.2020,01:00,222
03.02.2020,02:00,222
03.02.2020,03:00,223
03.02.2020,04:00,223
03.02.2020,05:00,224
03.02.2020,06:00,235
03.02.2020,07:00,237
03.02.2020,08:00,238
03.02.2020,09:00,243
03.02.2020,10:00,243
03.02.2020,11:00,244
03.02.2020,12:00,243
03.02.2020,13:00,241
03.02.2020,14:00,242
03.02.2020,15:00,242
03.02.2020,16:00,243
03.02.2020,17:00,243
03.02.2020,18:00,243
03.02.2020,19:00,243
03.02.2020,20:00,243
03.02.2020,21:00,242
03.02.2020,22:00,234
03.02.2020,23:00,234
04.02.2020,00:00,223
04.02.2020,01:00,223
04.02.2020,02:00,223
04.02.2020,03:00,224
04.02.2020,04:00,233
04.02.2020,05:00,244
04.02.2020,06:00,246
04.02.2020,07:00,247
04.02.2020,08:00,247
04.02.2020,09:00,247
04.02.2020,10:00,246
04.02.2020,11:00,247
04.02.2020,12:00,246
04.02.2020,13:00,246
04.02.2020,14:00,246
04.02.2020,15:00,246
04.02.2020,16:00,247
04.02.2020,17:00,247
04.02.2020,18:00,248
04.02.2020,19:00,248
04.02.2020,20:00,249
04.02.2020,21:00,249
04.02.2020,22:00,249
04.02.2020,23:00,249
05.02.2020,00:00,250
05.02.2020,01:00,250
05.02.2020,02:00,250
05.02.2020,03:00,251
05.02.2020,04:00,251
05.02.2020,05:00,251
05.02.2020,06:00,252
05.02.2020,07:00,252
05.02.2020,08:00,253
05.02.2020,09:00,252
05.02.2020,10:00,253
05.02.2020,11:00,252
05.02.2020,12:00,252
05.02.2020,13:00,252
05.02.2020,14:00,252
05.02.2020,15:00,252
05.02.2020,16:00,253
05.02.2020,17:00,253
05.02.2020,18:00,254
05.02.2020,19:00,255
05.02.2020,20:00,255
05.02.2020,21:00,255
05.02.2020,22:00,254
05.02.2020,23:00,253
