Datum,Uhrzeit,Generation_DE PSS A[MW],Generation_DE PSS C[MW],Generation_DE PSS D[MW],Generation_DE PSS B[MW]
24.01.2020,23:00,71,0,0,0
25.01.2020,00:00,0,0,0,0
25.01.2020,01:00,0,0,0,0
25.01.2020,02:00,0,0,0,0
25.01.2020,03:00,0,0,0,0
25.01.2020,04:00,0,0,0,0
25.01.2020,05:00,0,0,0,0
25.01.2020,06:00,0,0,0,0
25.01.2020,07:00,46,0,0,0
25.01.2020,08:00,140,0,0,0
25.01.2020,09:00,191,153,0,0
25.01.2020,10:00,94,189,0,0
25.01.2020,11:00,97,0,0,128
25.01.2020,12:00,124,0,0,0
25.01.2020,13:00,69,0,0,0
25.01.2020,14:00,97,0,0,0
25.01.2020,15:00,75,0,0,0
25.01.2020,16:00,97,0,73,0
25.01.2020,17:00,157,0,153,0
25.01.2020,18:00,160,192,158,188
25.01.2020,19:00,103,173,102,147
25.01.2020,20:00,50,2,153,0
25.01.2020,21:00,0,0,42,0
25.01.2020,22:00,0,0,63,0
25.01.2020,23:00,0,0,191,0
26.01.2020,00:00,0,0,86,0
26.01.2020,01:00,0,0,57,0
26.01.2020,02:00,0,0,38,0
26.01.2020,03:00,0,0,0,0
26.01.2020,04:00,0,0,0,0
26.01.2020,05:00,0,0,0,0
26.01.2020,06:00,0,0,0,0
26.01.2020,07:00,0,0,0,0
26.01.2020,08:00,0,0,0,0
26.01.2020,09:00,90,0,0,0
26.01.2020,10:00,57,0,0,0
26.01.2020,11:00,85,0,0,0
26.01.2020,12:00,113,0,0,187
26.01.2020,13:00,0,0,0,0
26.01.2020,14:00,0,0,0,0
26.01.2020,15:00,0,0,0,0
26.01.2020,16:00,0,0,0,0
26.01.2020,17:00,73,4,0,3
26.01.2020,18:00,212,234,210,236
26.01.2020,19:00,159,196,124,198
26.01.2020,20:00,99,2,0,79
26.01.2020,21:00,104,0,0,0
26.01.2020,22:00,135,0,0,0
26.01.2020,23:00,36,0,0,0
27.01.2020,00:00,0,0,0,0
27.01.2020,01:00,0,0,0,0
27.01.2020,02:00,0,0,0,0
27.01.2020,03:00,0,0,0,0
27.01.2020,04:00,0,0,0,0
27.01.2020,05:00,0,0,0,0
27.01.2020,06:00,64,0,0,0
27.01.2020,07:00,126,0,2,0
27.01.2020,08:00,210,238,208,246
