Datum,Uhrzeit,Generation_DE B[MW],Generation_DE C[MW],Generation_DE F[MW],Generation_DE E[MW],Generation_DE D[MW]
24.01.2020,14:00,289,292,0,0,0
24.01.2020,15:00,289,291,0,0,0
24.01.2020,16:00,288,291,0,0,0
24.01.2020,17:00,289,290,0,0,0
24.01.2020,18:00,289,291,0,0,0
24.01.2020,19:00,290,281,0,0,0
24.01.2020,20:00,278,242,0,0,0
24.01.2020,21:00,227,235,0,0,0
24.01.2020,22:00,224,225,0,0,0
24.01.2020,23:00,225,224,0,0,0
25.01.2020,00:00,223,167,0,0,0
25.01.2020,01:00,175,147,0,0,0
25.01.2020,02:00,176,147,0,0,0
25.01.2020,03:00,176,147,0,0,0
25.01.2020,04:00,176,147,0,0,0
25.01.2020,05:00,209,173,0,0,0
25.01.2020,06:00,205,177,0,0,0
25.01.2020,07:00,205,176,0,0,0
25.01.2020,08:00,204,189,0,0,0
25.01.2020,09:00,205,197,0,0,0
25.01.2020,10:00,205,202,0,0,0
25.01.2020,11:00,204,205,0,0,0
25.01.2020,12:00,206,206,0,0,0
25.01.2020,13:00,214,197,0,0,0
25.01.2020,14:00,243,167,0,0,0
25.01.2020,15:00,243,167,0,0,0
25.01.2020,16:00,242,168,0,0,0
25.01.2020,17:00,244,168,0,0,0
25.01.2020,18:00,242,167,0,0,0
25.01.2020,19:00,242,166,0,0,0
25.01.2020,20:00,244,167,0,0,0
25.01.2020,21:00,243,161,0,0,0
25.01.2020,22:00,186,148,0,0,0
25.01.2020,23:00,177,147,0,0,0
26.01.2020,00:00,173,191,0,0,0
26.01.2020,01:00,166,148,0,0,0
26.01.2020,02:00,186,148,0,0,0
26.01.2020,03:00,204,145,0,0,0
26.01.2020,04:00,205,142,0,0,0
26.01.2020,05:00,205,140,0,0,0
26.01.2020,06:00,204,172,0,0,0
26.01.2020,07:00,207,175,0,0,0
26.01.2020,08:00,206,179,0,0,0
26.01.2020,09:00,228,216,0,0,0
26.01.2020,10:00,243,205,0,0,0
26.01.2020,11:00,243,203,0,0,0
26.01.2020,12:00,244,205,0,0,0
26.01.2020,13:00,243,208,0,0,0
26.01.2020,14:00,242,207,0,0,0
26.01.2020,15:00,243,206,0,0,0
26.01.2020,16:00,243,206,0,0,0
26.01.2020,17:00,243,206,0,0,0
26.01.2020,18:00,242,205,0,0,0
26.01.2020,19:00,243,205,0,0,0
26.01.2020,20:00,243,207,0,0,0
26.01.2020,21:00,244,205,0,0,0
26.01.2020,22:00,243,206,0,0,0
26.01.2020,23:00,215,186,0,0,0
27.01.2020,00:00,204,178,0,0,0
27.01.2020,01:00,201,163,0,0,0
27.01.2020,02:00,147,141,0,0,0
27.01.2020,03:00,199,137,0,0,0
27.01.2020,04:00,204,137,0,0,0
27.01.2020,05:00,204,154,0,0,0
27.01.2020,06:00,219,209,0,0,0
27.01.2020,07:00,225,216,0,0,0
27.01.2020,08:00,224,217,0,0,0
27.01.2020,09:00,223,215,0,0,0
27.01.2020,10:00,223,214,0,0,0
27.01.2020,11:00,223,215,0,0,0
27.01.2020,12:00,224,214,0,0,0
27.01.2020,13:00,225,216,0,0,0
27.01.2020,14:00,242,222,0,0,0
27.01.2020,15:00,242,227,0,0,0
27.01.2020,16:00,243,227,0,0,0
27.01.2020,17:00,241,224,0,0,0
27.01.2020,18:00,244,225,0,0,0
27.01.2020,19:00,242,225,0,0,0
27.01.2020,20:00,242,225,0,0,0
27.01.2020,21:00,243,226,0,0,0
27.01.2020,22:00,208,167,0,0,0
27.01.2020,23:00,167,138,0,0,0
28.01.2020,00:00,217,165,0,0,0
28.01.2020,01:00,216,165,0,0,0
