Datum,Uhrzeit,Generation_DE GKN II[MW]
24.01.2020,06:00,1316
24.01.2020,07:00,1315
24.01.2020,08:00,1314
24.01.2020,09:00,1315
24.01.2020,10:00,1315
24.01.2020,11:00,1315
24.01.2020,12:00,1315
24.01.2020,13:00,1315
24.01.2020,14:00,1316
24.01.2020,15:00,1315
24.01.2020,16:00,1315
24.01.2020,17:00,1314
24.01.2020,18:00,1313
24.01.2020,19:00,1314
24.01.2020,20:00,1317
24.01.2020,21:00,1318
24.01.2020,22:00,1318
24.01.2020,23:00,1319
25.01.2020,00:00,1319
25.01.2020,01:00,1319
25.01.2020,02:00,1316
25.01.2020,03:00,1316
25.01.2020,04:00,1316
25.01.2020,05:00,1315
25.01.2020,06:00,1315
25.01.2020,07:00,1314
25.01.2020,08:00,1315
25.01.2020,09:00,1315
25.01.2020,10:00,1315
25.01.2020,11:00,1314
25.01.2020,12:00,1314
25.01.2020,13:00,1311
25.01.2020,14:00,1309
25.01.2020,15:00,1309
25.01.2020,16:00,1310
25.01.2020,17:00,1309
25.01.2020,18:00,1308
25.01.2020,19:00,1308
25.01.2020,20:00,1309
25.01.2020,21:00,1315
25.01.2020,22:00,1316
25.01.2020,23:00,1316
26.01.2020,00:00,1316
26.01.2020,01:00,1316
26.01.2020,02:00,1316
26.01.2020,03:00,1316
26.01.2020,04:00,1316
26.01.2020,05:00,1316
26.01.2020,06:00,1316
26.01.2020,07:00,1315
26.01.2020,08:00,1316
26.01.2020,09:00,1314
26.01.2020,10:00,1314
26.01.2020,11:00,1315
26.01.2020,12:00,1315
26.01.2020,13:00,1311
26.01.2020,14:00,1312
26.01.2020,15:00,1313
26.01.2020,16:00,1313
26.01.2020,17:00,1308
26.01.2020,18:00,1308
26.01.2020,19:00,1308
26.01.2020,20:00,1309
26.01.2020,21:00,1307
26.01.2020,22:00,1308
26.01.2020,23:00,1306
27.01.2020,00:00,1311
27.01.2020,01:00,1312
27.01.2020,02:00,1309
27.01.2020,03:00,1308
27.01.2020,04:00,1308
27.01.2020,05:00,1308
27.01.2020,06:00,1310
27.01.2020,07:00,1313
27.01.2020,08:00,1314
27.01.2020,09:00,1315
27.01.2020,10:00,1314
27.01.2020,11:00,1315
27.01.2020,12:00,1315
27.01.2020,13:00,1314
27.01.2020,14:00,1313
27.01.2020,15:00,1312
27.01.2020,16:00,1311
27.01.2020,17:00,1310
27.01.2020,18:00,1309
27.01.2020,19:00,1312
