Datum,Uhrzeit,Generation_DE Block 3[MW],Generation_DE Block 4[MW],Generation_DE Block 5[MW]
26.01.2020,00:00,0,43,179
26.01.2020,01:00,0,47,172
26.01.2020,02:00,0,45,176
26.01.2020,03:00,0,52,182
26.01.2020,04:00,0,62,182
26.01.2020,05:00,0,47,167
26.01.2020,06:00,0,66,165
26.01.2020,07:00,0,60,185
26.01.2020,08:00,0,58,182
26.01.2020,09:00,0,56,210
26.01.2020,10:00,0,52,201
26.01.2020,11:00,0,51,200
26.01.2020,12:00,0,60,211
26.01.2020,13:00,0,56,212
26.01.2020,14:00,0,63,208
26.01.2020,15:00,0,83,211
26.01.2020,16:00,0,84,206
26.01.2020,17:00,0,83,209
26.01.2020,18:00,0,81,209
26.01.2020,19:00,0,78,210
26.01.2020,20:00,0,72,194
26.01.2020,21:00,0,79,213
26.01.2020,22:00,0,74,190
26.01.2020,23:00,0,71,199
27.01.2020,00:00,0,80,183
27.01.2020,01:00,0,80,197
27.01.2020,02:00,0,71,209
27.01.2020,03:00,0,58,198
27.01.2020,04:00,0,81,213
27.01.2020,05:00,0,72,206
27.01.2020,06:00,0,49,201
27.01.2020,07:00,0,66,206
27.01.2020,08:00,0,84,206
27.01.2020,09:00,0,68,193
27.01.2020,10:00,0,84,213
27.01.2020,11:00,0,88,214
27.01.2020,12:00,0,90,214
27.01.2020,13:00,0,85,212
27.01.2020,14:00,0,80,205
27.01.2020,15:00,0,85,206
27.01.2020,16:00,0,88,208
27.01.2020,17:00,0,86,206
27.01.2020,18:00,0,62,174
27.01.2020,19:00,0,51,149
27.01.2020,20:00,0,47,170
27.01.2020,21:00,0,45,174
27.01.2020,22:00,0,39,162
27.01.2020,23:00,0,50,148
28.01.2020,00:00,0,51,183
28.01.2020,01:00,0,45,191
28.01.2020,02:00,0,46,199
28.01.2020,03:00,0,46,198
28.01.2020,04:00,0,43,198
28.01.2020,05:00,0,55,209
28.01.2020,06:00,0,49,206
28.01.2020,07:00,0,44,181
28.01.2020,08:00,0,41,146
28.01.2020,09:00,0,52,170
28.01.2020,10:00,0,46,169
28.01.2020,11:00,0,46,193
28.01.2020,12:00,0,38,151
28.01.2020,13:00,0,37,127
28.01.2020,14:00,0,39,128
28.01.2020,15:00,0,42,125
28.01.2020,16:00,0,48,138
28.01.2020,17:00,0,38,142
28.01.2020,18:00,0,39,143
28.01.2020,19:00,0,41,146
28.01.2020,20:00,0,40,144
28.01.2020,21:00,0,41,141
28.01.2020,22:00,0,42,160
28.01.2020,23:00,0,42,158
29.01.2020,00:00,0,47,145
29.01.2020,01:00,0,46,167
29.01.2020,02:00,0,41,162
29.01.2020,03:00,0,41,164
29.01.2020,04:00,0,43,157
29.01.2020,05:00,0,42,162
29.01.2020,06:00,0,39,140
29.01.2020,07:00,0,42,143
29.01.2020,08:00,0,39,148
29.01.2020,09:00,0,41,149
29.01.2020,10:00,0,45,132
29.01.2020,11:00,0,38,134
29.01.2020,12:00,0,39,150
29.01.2020,13:00,0,42,145
29.01.2020,14:00,0,47,154
29.01.2020,15:00,0,61,174
29.01.2020,16:00,0,39,136
29.01.2020,17:00,0,44,129
29.01.2020,18:00,0,45,131
29.01.2020,19:00,0,49,153
29.01.2020,20:00,0,47,156
29.01.2020,21:00,0,51,167
29.01.2020,22:00,0,49,163
29.01.2020,23:00,0,52,157
30.01.2020,00:00,0,49,179
30.01.2020,01:00,0,43,171
30.01.2020,02:00,0,41,159
30.01.2020,03:00,0,41,157
30.01.2020,04:00,0,47,167
30.01.2020,05:00,0,45,180
30.01.2020,06:00,0,47,180
30.01.2020,07:00,0,51,152
30.01.2020,08:00,0,64,171
30.01.2020,09:00,0,79,188
30.01.2020,10:00,0,80,180
30.01.2020,11:00,0,82,187
30.01.2020,12:00,0,80,203
30.01.2020,13:00,0,80,214
30.01.2020,14:00,0,70,194
30.01.2020,15:00,0,80,216
30.01.2020,16:00,0,83,215
30.01.2020,17:00,0,83,209
30.01.2020,18:00,0,84,194
30.01.2020,19:00,0,83,199
30.01.2020,20:00,0,83,213
30.01.2020,21:00,0,89,213
30.01.2020,22:00,0,85,213
30.01.2020,23:00,0,68,183
31.01.2020,00:00,0,53,143
31.01.2020,01:00,0,57,137
31.01.2020,02:00,0,50,133
31.01.2020,03:00,0,57,149
31.01.2020,04:00,0,47,127
31.01.2020,05:00,0,40,115
31.01.2020,06:00,0,44,141
31.01.2020,07:00,0,47,135
31.01.2020,08:00,0,42,136
31.01.2020,09:00,0,41,132
31.01.2020,10:00,0,47,134
31.01.2020,11:00,0,47,139
31.01.2020,12:00,0,40,149
31.01.2020,13:00,0,45,143
31.01.2020,14:00,0,48,170
31.01.2020,15:00,0,47,149
31.01.2020,16:00,0,46,154
31.01.2020,17:00,0,44,138
31.01.2020,18:00,0,34,130
31.01.2020,19:00,0,39,126
31.01.2020,20:00,0,47,142
31.01.2020,21:00,0,42,128
31.01.2020,22:00,0,40,146
31.01.2020,23:00,0,49,167
01.02.2020,00:00,0,45,149
01.02.2020,01:00,0,45,138
01.02.2020,02:00,0,50,152
01.02.2020,03:00,0,50,118
01.02.2020,04:00,0,42,123
01.02.2020,05:00,0,41,116
01.02.2020,06:00,0,45,126
01.02.2020,07:00,0,43,131
01.02.2020,08:00,0,42,105
01.02.2020,09:00,0,44,112
01.02.2020,10:00,0,49,128
01.02.2020,11:00,0,44,120
01.02.2020,12:00,0,52,117
01.02.2020,13:00,0,45,138
01.02.2020,14:00,0,43,141
01.02.2020,15:00,0,48,159
01.02.2020,16:00,0,54,176
01.02.2020,17:00,0,55,192
01.02.2020,18:00,0,50,203
01.02.2020,19:00,0,46,172
01.02.2020,20:00,0,41,141
01.02.2020,21:00,0,43,140
01.02.2020,22:00,0,48,136
01.02.2020,23:00,0,40,138
02.02.2020,00:00,0,50,131
02.02.2020,01:00,0,44,155
02.02.2020,02:00,0,41,136
02.02.2020,03:00,0,41,129
02.02.2020,04:00,0,43,144
02.02.2020,05:00,0,70,198
02.02.2020,06:00,0,68,205
02.02.2020,07:00,0,78,205
02.02.2020,08:00,0,81,208
02.02.2020,09:00,0,80,216
02.02.2020,10:00,0,82,218
02.02.2020,11:00,0,81,222
02.02.2020,12:00,0,81,222
02.02.2020,13:00,0,83,223
02.02.2020,14:00,0,80,223
02.02.2020,15:00,0,79,213
02.02.2020,16:00,0,81,205
02.02.2020,17:00,0,82,208
02.02.2020,18:00,0,80,209
02.02.2020,19:00,0,84,205
02.02.2020,20:00,0,87,212
02.02.2020,21:00,0,86,219
02.02.2020,22:00,0,88,220
02.02.2020,23:00,0,92,222
03.02.2020,00:00,0,88,222
03.02.2020,01:00,0,86,203
03.02.2020,02:00,0,88,211
03.02.2020,03:00,0,88,209
03.02.2020,04:00,0,84,215
03.02.2020,05:00,0,87,217
03.02.2020,06:00,0,82,215
03.02.2020,07:00,0,83,212
03.02.2020,08:00,0,84,206
03.02.2020,09:00,0,86,212
03.02.2020,10:00,0,91,214
03.02.2020,11:00,0,88,219
03.02.2020,12:00,0,87,208
03.02.2020,13:00,0,85,214
03.02.2020,14:00,0,85,217
