Datum,Uhrzeit,Generation_DE B[MW],Generation_DE A[MW]
24.01.2020,23:00,0,222
25.01.2020,00:00,0,224
25.01.2020,01:00,0,224
25.01.2020,02:00,0,225
25.01.2020,03:00,0,219
25.01.2020,04:00,0,220
25.01.2020,05:00,0,222
25.01.2020,06:00,0,223
25.01.2020,07:00,0,220
25.01.2020,08:00,0,228
25.01.2020,09:00,0,352
25.01.2020,10:00,0,359
25.01.2020,11:00,0,356
25.01.2020,12:00,0,245
25.01.2020,13:00,0,219
25.01.2020,14:00,0,217
25.01.2020,15:00,0,217
25.01.2020,16:00,0,219
25.01.2020,17:00,0,330
25.01.2020,18:00,0,336
25.01.2020,19:00,0,329
25.01.2020,20:00,0,237
25.01.2020,21:00,0,217
25.01.2020,22:00,0,217
25.01.2020,23:00,0,220
26.01.2020,00:00,0,226
26.01.2020,01:00,0,227
26.01.2020,02:00,0,225
26.01.2020,03:00,0,225
26.01.2020,04:00,0,225
26.01.2020,05:00,0,225
26.01.2020,06:00,0,225
26.01.2020,07:00,0,227
26.01.2020,08:00,0,226
26.01.2020,09:00,0,228
26.01.2020,10:00,0,231
26.01.2020,11:00,0,226
26.01.2020,12:00,0,226
26.01.2020,13:00,0,225
26.01.2020,14:00,0,226
26.01.2020,15:00,0,227
26.01.2020,16:00,0,227
26.01.2020,17:00,0,226
26.01.2020,18:00,0,227
26.01.2020,19:00,0,227
26.01.2020,20:00,0,226
26.01.2020,21:00,0,225
26.01.2020,22:00,0,227
26.01.2020,23:00,0,226
27.01.2020,00:00,0,226
27.01.2020,01:00,0,227
27.01.2020,02:00,0,225
27.01.2020,03:00,0,227
27.01.2020,04:00,0,227
27.01.2020,05:00,0,228
27.01.2020,06:00,0,232
27.01.2020,07:00,0,232
27.01.2020,08:00,0,230
27.01.2020,09:00,0,236
27.01.2020,10:00,0,234
27.01.2020,11:00,0,236
27.01.2020,12:00,0,236
27.01.2020,13:00,0,239
27.01.2020,14:00,0,346
27.01.2020,15:00,0,372
27.01.2020,16:00,0,371
27.01.2020,17:00,0,372
27.01.2020,18:00,0,371
27.01.2020,19:00,0,369
27.01.2020,20:00,0,253
27.01.2020,21:00,0,230
27.01.2020,22:00,0,229
27.01.2020,23:00,0,229
28.01.2020,00:00,0,233
28.01.2020,01:00,0,230
28.01.2020,02:00,0,230
28.01.2020,03:00,0,231
28.01.2020,04:00,0,231
28.01.2020,05:00,0,231
28.01.2020,06:00,0,232
28.01.2020,07:00,0,231
28.01.2020,08:00,0,227
28.01.2020,09:00,0,216
28.01.2020,10:00,0,286
28.01.2020,11:00,0,316
28.01.2020,12:00,0,278
28.01.2020,13:00,0,219
28.01.2020,14:00,0,212
28.01.2020,15:00,0,209
28.01.2020,16:00,0,211
28.01.2020,17:00,0,211
28.01.2020,18:00,0,210
28.01.2020,19:00,0,206
28.01.2020,20:00,0,212
28.01.2020,21:00,0,205
28.01.2020,22:00,0,202
28.01.2020,23:00,0,207
29.01.2020,00:00,0,208
29.01.2020,01:00,0,216
29.01.2020,02:00,0,218
29.01.2020,03:00,0,221
29.01.2020,04:00,3,221
