Datum,Uhrzeit,Generation_DE KKI 2[MW]
02.02.2020,10:00,1382
02.02.2020,11:00,1404
02.02.2020,12:00,1404
02.02.2020,13:00,1402
02.02.2020,14:00,1402
02.02.2020,15:00,1401
02.02.2020,16:00,1397
02.02.2020,17:00,1395
02.02.2020,18:00,1396
02.02.2020,19:00,1384
02.02.2020,20:00,1392
02.02.2020,21:00,1392
02.02.2020,22:00,1393
02.02.2020,23:00,1341
03.02.2020,00:00,1381
03.02.2020,01:00,1381
03.02.2020,02:00,1324
03.02.2020,03:00,1333
03.02.2020,04:00,1280
03.02.2020,05:00,1202
03.02.2020,06:00,1303
03.02.2020,07:00,1410
03.02.2020,08:00,1409
03.02.2020,09:00,1406
03.02.2020,10:00,1409
03.02.2020,11:00,1409
03.02.2020,12:00,1407
03.02.2020,13:00,1393
03.02.2020,14:00,1407
03.02.2020,15:00,1406
03.02.2020,16:00,1408
03.02.2020,17:00,1406
03.02.2020,18:00,1406
03.02.2020,19:00,1404
03.02.2020,20:00,1406
03.02.2020,21:00,1407
03.02.2020,22:00,1419
03.02.2020,23:00,1417
04.02.2020,00:00,1415
04.02.2020,01:00,1414
04.02.2020,02:00,1410
04.02.2020,03:00,1399
04.02.2020,04:00,1396
04.02.2020,05:00,1399
04.02.2020,06:00,1406
04.02.2020,07:00,1412
04.02.2020,08:00,1414
04.02.2020,09:00,1417
04.02.2020,10:00,1420
04.02.2020,11:00,1422
04.02.2020,12:00,1419
04.02.2020,13:00,1416
04.02.2020,14:00,1373
04.02.2020,15:00,1417
04.02.2020,16:00,1418
04.02.2020,17:00,1416
04.02.2020,18:00,1413
04.02.2020,19:00,1407
04.02.2020,20:00,1344
04.02.2020,21:00,1341
04.02.2020,22:00,1341
04.02.2020,23:00,1338
05.02.2020,00:00,1288
05.02.2020,01:00,1281
05.02.2020,02:00,1276
05.02.2020,03:00,1291
05.02.2020,04:00,1266
05.02.2020,05:00,1325
05.02.2020,06:00,1382
05.02.2020,07:00,1416
05.02.2020,08:00,1423
05.02.2020,09:00,1426
05.02.2020,10:00,1426
05.02.2020,11:00,1425
05.02.2020,12:00,1424
05.02.2020,13:00,1412
05.02.2020,14:00,1406
05.02.2020,15:00,1420
05.02.2020,16:00,1420
05.02.2020,17:00,1420
05.02.2020,18:00,1422
05.02.2020,19:00,1424
05.02.2020,20:00,1425
05.02.2020,21:00,1426
05.02.2020,22:00,1426
05.02.2020,23:00,1427
06.02.2020,00:00,1427
06.02.2020,01:00,1428
06.02.2020,02:00,1427
06.02.2020,03:00,1426
06.02.2020,04:00,1425
06.02.2020,05:00,1415
06.02.2020,06:00,1424
06.02.2020,07:00,1426
06.02.2020,08:00,1426
06.02.2020,09:00,1426
06.02.2020,10:00,1424
06.02.2020,11:00,1425
06.02.2020,12:00,1422
06.02.2020,13:00,1416
06.02.2020,14:00,1416
06.02.2020,15:00,1418
06.02.2020,16:00,1417
06.02.2020,17:00,1405
06.02.2020,18:00,1415
06.02.2020,19:00,1419
06.02.2020,20:00,1423
06.02.2020,21:00,1422
06.02.2020,22:00,1423
06.02.2020,23:00,1419
07.02.2020,00:00,1420
07.02.2020,01:00,1421
07.02.2020,02:00,1422
07.02.2020,03:00,1425
07.02.2020,04:00,1426
07.02.2020,05:00,1426
07.02.2020,06:00,1426
07.02.2020,07:00,1426
07.02.2020,08:00,1419
07.02.2020,09:00,1402
07.02.2020,10:00,1424
07.02.2020,11:00,1396
07.02.2020,12:00,1323
07.02.2020,13:00,1320
07.02.2020,14:00,1321
07.02.2020,15:00,1318
07.02.2020,16:00,1321
07.02.2020,17:00,1375
07.02.2020,18:00,1420
07.02.2020,19:00,1422
07.02.2020,20:00,1422
07.02.2020,21:00,1394
07.02.2020,22:00,1377
07.02.2020,23:00,1423
08.02.2020,00:00,1393
08.02.2020,01:00,1352
08.02.2020,02:00,1334
08.02.2020,03:00,1300
08.02.2020,04:00,1302
08.02.2020,05:00,1318
08.02.2020,06:00,1318
08.02.2020,07:00,1326
08.02.2020,08:00,1332
08.02.2020,09:00,1333
08.02.2020,10:00,1354
08.02.2020,11:00,1379
08.02.2020,12:00,1365
08.02.2020,13:00,1375
08.02.2020,14:00,1419
08.02.2020,15:00,1419
08.02.2020,16:00,1418
08.02.2020,17:00,1417
08.02.2020,18:00,1418
08.02.2020,19:00,1334
08.02.2020,20:00,1341
08.02.2020,21:00,1325
08.02.2020,22:00,1344
08.02.2020,23:00,1424
09.02.2020,00:00,1424
09.02.2020,01:00,1406
09.02.2020,02:00,1403
09.02.2020,03:00,1279
09.02.2020,04:00,1320
09.02.2020,05:00,1319
09.02.2020,06:00,1252
09.02.2020,07:00,1210
09.02.2020,08:00,1115
09.02.2020,09:00,1161
09.02.2020,10:00,1133
09.02.2020,11:00,955
09.02.2020,12:00,881
09.02.2020,13:00,976
09.02.2020,14:00,1024
09.02.2020,15:00,1214
09.02.2020,16:00,1252
09.02.2020,17:00,1269
09.02.2020,18:00,1317
09.02.2020,19:00,1267
09.02.2020,20:00,1302
09.02.2020,21:00,1256
09.02.2020,22:00,1270
09.02.2020,23:00,1267
10.02.2020,00:00,1281
10.02.2020,01:00,1222
10.02.2020,02:00,1191
10.02.2020,03:00,1255
10.02.2020,04:00,1264
10.02.2020,05:00,1304
10.02.2020,06:00,1371
10.02.2020,07:00,1375
10.02.2020,08:00,1391
10.02.2020,09:00,1392
10.02.2020,10:00,1383
10.02.2020,11:00,1380
10.02.2020,12:00,1324
10.02.2020,13:00,1353
10.02.2020,14:00,1350
10.02.2020,15:00,1313
10.02.2020,16:00,1325
10.02.2020,17:00,1403
