Datum,Uhrzeit,Generation_DE Walsum 10[MW],Generation_DE Walsum 9[MW],Generation_DE Walsum 7[MW]
27.01.2020,12:00,0,83,0
27.01.2020,13:00,0,86,0
27.01.2020,14:00,0,110,0
27.01.2020,15:00,0,112,0
27.01.2020,16:00,0,120,0
27.01.2020,17:00,0,120,0
27.01.2020,18:00,0,114,0
27.01.2020,19:00,0,93,0
27.01.2020,20:00,0,83,0
27.01.2020,21:00,0,82,0
27.01.2020,22:00,0,84,0
27.01.2020,23:00,0,83,0
28.01.2020,00:00,0,86,0
28.01.2020,01:00,0,80,0
28.01.2020,02:00,0,80,0
28.01.2020,03:00,0,79,0
28.01.2020,04:00,0,79,0
28.01.2020,05:00,0,79,0
28.01.2020,06:00,0,86,0
28.01.2020,07:00,0,167,0
28.01.2020,08:00,0,184,0
28.01.2020,09:00,0,247,0
28.01.2020,10:00,0,327,0
28.01.2020,11:00,0,256,0
28.01.2020,12:00,0,212,0
28.01.2020,13:00,0,164,0
28.01.2020,14:00,0,102,0
28.01.2020,15:00,0,82,0
28.01.2020,16:00,0,82,0
28.01.2020,17:00,0,81,0
28.01.2020,18:00,0,81,0
28.01.2020,19:00,0,81,0
28.01.2020,20:00,0,82,0
28.01.2020,21:00,0,81,0
28.01.2020,22:00,0,81,0
28.01.2020,23:00,0,81,0
29.01.2020,00:00,0,82,0
29.01.2020,01:00,0,81,0
29.01.2020,02:00,0,81,0
29.01.2020,03:00,0,81,0
29.01.2020,04:00,0,80,0
29.01.2020,05:00,0,87,0
29.01.2020,06:00,0,83,0
29.01.2020,07:00,0,82,0
29.01.2020,08:00,0,82,0
29.01.2020,09:00,0,87,0
29.01.2020,10:00,0,142,0
29.01.2020,11:00,0,106,0
29.01.2020,12:00,0,82,0
29.01.2020,13:00,0,81,0
29.01.2020,14:00,0,82,0
29.01.2020,15:00,0,81,0
29.01.2020,16:00,0,87,0
29.01.2020,17:00,0,166,0
29.01.2020,18:00,0,179,0
29.01.2020,19:00,0,163,0
29.01.2020,20:00,0,99,0
29.01.2020,21:00,0,82,0
29.01.2020,22:00,0,83,0
29.01.2020,23:00,0,82,0
30.01.2020,00:00,0,81,0
30.01.2020,01:00,0,83,0
30.01.2020,02:00,0,81,0
30.01.2020,03:00,0,81,0
30.01.2020,04:00,0,80,0
30.01.2020,05:00,0,82,0
30.01.2020,06:00,0,110,0
30.01.2020,07:00,0,118,0
30.01.2020,08:00,0,114,0
30.01.2020,09:00,0,101,0
30.01.2020,10:00,0,84,0
