Datum,Uhrzeit,Generation_DE G[MW],Generation_DE H[MW],Generation_DE D[MW],Generation_DE E[MW],Generation_DE C[MW],Generation_DE B[MW],Generation_DE F[MW],Generation_DE K[MW],Generation_DE A[MW]
15.01.2020,11:00,335,0,0,0,172,0,0,916,0
15.01.2020,12:00,314,0,0,0,153,0,0,925,0
15.01.2020,13:00,377,0,0,0,167,0,0,921,0
15.01.2020,14:00,549,0,0,0,251,0,0,920,0
15.01.2020,15:00,616,0,0,0,276,0,0,919,0
15.01.2020,16:00,616,0,0,0,273,0,0,920,0
15.01.2020,17:00,620,0,0,0,274,0,0,919,0
15.01.2020,18:00,617,0,0,0,274,0,0,922,0
15.01.2020,19:00,617,0,0,0,274,0,0,922,0
15.01.2020,20:00,617,0,0,0,274,0,0,920,0
15.01.2020,21:00,616,0,0,0,260,0,0,921,0
15.01.2020,22:00,473,0,0,0,177,0,0,920,0
15.01.2020,23:00,456,0,0,0,151,0,0,919,0
16.01.2020,00:00,562,0,0,0,196,0,0,922,0
16.01.2020,01:00,619,0,0,0,272,0,0,920,0
16.01.2020,02:00,617,0,0,0,272,0,0,920,0
16.01.2020,03:00,619,0,0,0,272,0,0,925,0
16.01.2020,04:00,620,171,0,0,272,0,0,925,0
16.01.2020,05:00,618,390,0,0,272,0,0,923,0
16.01.2020,06:00,619,534,0,0,273,0,0,925,0
16.01.2020,07:00,633,648,0,0,272,0,0,935,0
16.01.2020,08:00,633,644,0,0,272,0,0,942,0
16.01.2020,09:00,633,648,0,0,272,0,0,943,0
16.01.2020,10:00,624,640,0,0,272,0,0,952,0
16.01.2020,11:00,625,643,0,0,272,0,0,949,0
16.01.2020,12:00,609,642,0,0,271,0,0,944,0
16.01.2020,13:00,511,637,0,0,270,0,0,853,0
16.01.2020,14:00,521,639,0,0,271,0,0,851,0
16.01.2020,15:00,616,632,0,0,272,0,0,939,0
16.01.2020,16:00,620,635,0,0,272,0,0,950,0
16.01.2020,17:00,621,633,0,0,272,0,0,951,0
16.01.2020,18:00,618,625,0,0,272,0,0,949,0
16.01.2020,19:00,613,639,0,0,273,0,0,930,0
16.01.2020,20:00,580,630,0,0,262,0,0,930,0
16.01.2020,21:00,327,384,0,0,175,0,0,929,0
16.01.2020,22:00,303,276,0,0,148,0,0,931,0
16.01.2020,23:00,301,279,0,0,150,0,0,929,0
17.01.2020,00:00,299,280,0,0,150,0,0,931,0
17.01.2020,01:00,301,281,0,0,149,0,0,782,0
17.01.2020,02:00,299,281,0,0,150,0,0,466,0
17.01.2020,03:00,305,280,0,0,150,0,0,422,0
17.01.2020,04:00,302,281,0,0,150,0,0,390,0
17.01.2020,05:00,331,395,0,0,150,0,0,795,0
17.01.2020,06:00,564,640,0,0,209,0,0,933,0
17.01.2020,07:00,623,642,0,0,273,0,0,941,0
17.01.2020,08:00,623,656,0,0,273,0,0,944,0
17.01.2020,09:00,625,652,0,0,272,0,0,947,0
17.01.2020,10:00,633,656,0,0,273,0,0,946,0
17.01.2020,11:00,616,648,0,0,272,0,0,929,0
17.01.2020,12:00,612,640,0,0,272,0,0,928,0
17.01.2020,13:00,611,644,0,0,272,0,0,929,0
17.01.2020,14:00,616,645,0,0,272,0,0,928,0
17.01.2020,15:00,622,656,0,0,273,0,0,946,0
17.01.2020,16:00,624,649,0,0,272,0,0,948,0
17.01.2020,17:00,624,608,0,0,272,0,0,948,0
17.01.2020,18:00,629,644,0,0,278,0,0,948,0
17.01.2020,19:00,627,644,0,0,280,0,0,946,0
17.01.2020,20:00,522,648,0,0,208,0,0,945,0
17.01.2020,21:00,292,482,0,0,152,0,0,944,0
17.01.2020,22:00,286,293,0,0,151,0,0,930,0
17.01.2020,23:00,286,277,0,0,150,0,0,913,0
18.01.2020,00:00,286,280,0,0,150,0,0,591,0
18.01.2020,01:00,285,281,0,0,150,0,0,371,0
18.01.2020,02:00,286,279,0,0,149,0,0,377,0
18.01.2020,03:00,285,280,0,0,150,0,0,370,0
18.01.2020,04:00,282,280,0,0,150,0,0,376,0
18.01.2020,05:00,279,281,0,0,150,0,0,371,0
18.01.2020,06:00,280,279,0,0,150,0,0,457,0
18.01.2020,07:00,288,296,0,0,155,0,0,895,0
18.01.2020,08:00,339,475,0,0,172,0,0,934,0
18.01.2020,09:00,601,649,0,0,261,0,0,934,0
18.01.2020,10:00,629,646,0,0,283,0,0,933,0
18.01.2020,11:00,633,654,0,0,282,0,0,932,0
18.01.2020,12:00,630,644,0,0,282,0,0,864,0
18.01.2020,13:00,629,645,0,0,282,0,0,860,0
18.01.2020,14:00,628,646,0,0,282,0,0,861,0
18.01.2020,15:00,627,643,0,0,282,0,0,860,0
18.01.2020,16:00,629,648,0,0,282,0,0,861,0
18.01.2020,17:00,628,648,0,0,282,0,0,878,0
18.01.2020,18:00,628,646,0,0,281,0,0,946,0
18.01.2020,19:00,630,644,0,0,282,0,0,952,0
18.01.2020,20:00,629,647,0,0,281,0,0,932,0
18.01.2020,21:00,629,649,0,0,282,0,0,894,0
18.01.2020,22:00,629,649,0,0,278,0,0,863,0
18.01.2020,23:00,603,646,0,0,258,0,0,861,0
19.01.2020,00:00,334,626,0,0,176,0,0,928,0
19.01.2020,01:00,293,380,0,0,149,0,0,932,0
19.01.2020,02:00,282,277,0,0,151,0,0,931,0
19.01.2020,03:00,282,289,0,0,150,0,0,927,0
19.01.2020,04:00,285,284,0,0,150,0,0,928,0
19.01.2020,05:00,333,280,0,0,150,0,0,930,0
19.01.2020,06:00,311,279,0,0,149,0,0,933,0
19.01.2020,07:00,287,323,0,0,154,0,0,930,0
19.01.2020,08:00,497,601,0,0,171,0,0,932,0
19.01.2020,09:00,561,651,0,0,263,0,0,928,0
