Datum,Uhrzeit,Generation_DE E[MW],Generation_DE D[MW],Generation_DE C[MW],Generation_DE F[MW],Generation_DE B[MW],Generation_DE A[MW]
15.01.2020,12:00,0,300,327,0,378,159
15.01.2020,13:00,0,297,327,0,371,158
15.01.2020,14:00,0,315,382,0,358,163
15.01.2020,15:00,0,376,424,0,388,358
15.01.2020,16:00,0,350,309,0,379,308
15.01.2020,17:00,0,351,301,0,390,309
15.01.2020,18:00,0,345,301,0,373,309
15.01.2020,19:00,0,330,299,0,355,298
15.01.2020,20:00,0,320,308,0,340,298
15.01.2020,21:00,0,312,306,0,338,300
15.01.2020,22:00,0,329,349,0,353,322
15.01.2020,23:00,0,339,337,0,367,308
16.01.2020,00:00,0,345,379,0,360,361
16.01.2020,01:00,0,409,472,0,399,399
16.01.2020,02:00,0,407,467,0,395,432
16.01.2020,03:00,0,437,481,0,423,446
16.01.2020,04:00,0,485,490,0,433,483
16.01.2020,05:00,0,473,485,0,431,474
16.01.2020,06:00,0,472,482,0,420,478
16.01.2020,07:00,0,464,497,0,452,490
16.01.2020,08:00,0,489,500,0,444,494
16.01.2020,09:00,0,486,498,0,442,494
16.01.2020,10:00,0,482,492,0,433,486
16.01.2020,11:00,0,470,484,0,449,480
16.01.2020,12:00,0,464,476,0,439,474
16.01.2020,13:00,0,474,498,0,456,493
16.01.2020,14:00,0,489,500,0,447,499
16.01.2020,15:00,0,488,498,0,448,499
16.01.2020,16:00,0,487,498,0,452,498
16.01.2020,17:00,0,485,496,0,440,494
16.01.2020,18:00,0,479,492,0,438,490
16.01.2020,19:00,0,488,489,0,445,496
16.01.2020,20:00,0,491,481,0,438,494
16.01.2020,21:00,0,484,476,0,434,489
16.01.2020,22:00,0,469,470,0,440,495
16.01.2020,23:00,0,386,418,0,370,402
17.01.2020,00:00,0,367,406,0,362,385
17.01.2020,01:00,0,302,317,0,353,303
17.01.2020,02:00,0,300,324,0,354,299
17.01.2020,03:00,0,300,321,0,351,300
17.01.2020,04:00,0,302,338,0,362,309
17.01.2020,05:00,0,392,454,0,388,424
17.01.2020,06:00,0,489,485,0,438,494
17.01.2020,07:00,0,493,486,0,438,495
17.01.2020,08:00,0,490,483,0,438,494
17.01.2020,09:00,0,493,486,0,443,498
17.01.2020,10:00,0,489,485,0,437,491
17.01.2020,11:00,0,496,497,0,437,501
17.01.2020,12:00,0,489,491,0,426,498
17.01.2020,13:00,0,494,497,0,440,502
17.01.2020,14:00,0,496,497,0,442,502
17.01.2020,15:00,0,496,497,0,433,500
17.01.2020,16:00,0,486,495,0,443,499
17.01.2020,17:00,0,495,497,0,442,503
17.01.2020,18:00,0,493,496,0,430,500
17.01.2020,19:00,0,484,490,0,421,493
17.01.2020,20:00,0,485,489,0,429,493
17.01.2020,21:00,0,477,488,0,424,494
17.01.2020,22:00,0,382,442,0,376,416
17.01.2020,23:00,0,370,436,0,381,406
18.01.2020,00:00,0,301,317,0,348,306
18.01.2020,01:00,0,301,303,0,348,301
18.01.2020,02:00,0,301,301,0,364,303
18.01.2020,03:00,0,300,301,0,367,302
18.01.2020,04:00,0,300,302,0,369,302
18.01.2020,05:00,0,300,301,0,368,303
18.01.2020,06:00,0,301,307,0,372,306
18.01.2020,07:00,0,370,450,0,410,425
18.01.2020,08:00,0,395,475,0,423,445
18.01.2020,09:00,0,493,497,0,459,494
18.01.2020,10:00,0,429,489,0,440,460
18.01.2020,11:00,0,362,426,0,404,394
18.01.2020,12:00,0,391,453,0,412,422
18.01.2020,13:00,0,446,494,0,462,481
18.01.2020,14:00,0,443,492,0,457,480
18.01.2020,15:00,0,447,493,0,459,479
18.01.2020,16:00,0,449,495,0,469,480
18.01.2020,17:00,0,446,494,0,460,477
18.01.2020,18:00,0,495,496,0,458,496
18.01.2020,19:00,0,493,495,0,459,495
18.01.2020,20:00,0,495,496,0,460,496
18.01.2020,21:00,0,492,494,0,456,494
18.01.2020,22:00,0,495,497,0,458,496
18.01.2020,23:00,0,493,494,0,459,493
19.01.2020,00:00,0,471,485,0,451,485
19.01.2020,01:00,0,462,475,0,440,477
19.01.2020,02:00,0,487,490,0,457,492
19.01.2020,03:00,0,482,493,0,459,496
19.01.2020,04:00,0,420,482,0,433,452
19.01.2020,05:00,0,489,498,0,471,497
19.01.2020,06:00,0,493,499,0,474,498
19.01.2020,07:00,0,491,497,0,474,495
19.01.2020,08:00,0,488,493,0,472,491
19.01.2020,09:00,0,415,474,0,435,447
19.01.2020,10:00,0,345,363,0,411,354
19.01.2020,11:00,0,345,364,0,415,344
19.01.2020,12:00,0,345,362,0,416,346
19.01.2020,13:00,0,321,334,0,394,321
19.01.2020,14:00,0,341,360,0,413,346
19.01.2020,15:00,0,336,364,0,414,352
19.01.2020,16:00,0,345,361,0,416,352
19.01.2020,17:00,0,476,481,0,475,473
19.01.2020,18:00,0,478,481,0,478,478
19.01.2020,19:00,0,475,479,0,478,477
19.01.2020,20:00,0,477,479,0,478,477
19.01.2020,21:00,0,478,481,0,478,478
19.01.2020,22:00,0,477,480,0,476,477
19.01.2020,23:00,0,436,476,0,459,469
20.01.2020,00:00,0,443,486,0,452,460
20.01.2020,01:00,0,464,494,0,470,475
20.01.2020,02:00,0,491,494,0,477,474
20.01.2020,03:00,0,479,486,0,470,466
20.01.2020,04:00,0,467,492,0,474,474
20.01.2020,05:00,0,487,501,0,475,494
20.01.2020,06:00,0,492,498,0,471,495
20.01.2020,07:00,0,490,499,0,471,493
20.01.2020,08:00,0,493,502,0,473,497
20.01.2020,09:00,0,493,501,0,474,498
20.01.2020,10:00,0,489,498,0,471,493
20.01.2020,11:00,0,488,497,0,471,494
20.01.2020,12:00,0,488,499,0,474,494
20.01.2020,13:00,0,495,494,0,476,499
20.01.2020,14:00,0,495,492,0,473,501
20.01.2020,15:00,0,497,497,0,475,501
20.01.2020,16:00,0,493,496,0,477,502
20.01.2020,17:00,0,495,497,0,476,502
20.01.2020,18:00,0,497,496,0,477,502
20.01.2020,19:00,0,495,495,0,475,502
20.01.2020,20:00,0,489,476,0,474,448
20.01.2020,21:00,0,490,475,0,476,444
20.01.2020,22:00,0,478,464,0,471,428
20.01.2020,23:00,0,473,474,0,457,423
21.01.2020,00:00,0,473,494,0,478,428
21.01.2020,01:00,0,476,499,0,478,429
21.01.2020,02:00,0,476,497,0,478,432
21.01.2020,03:00,0,473,495,0,479,433
21.01.2020,04:00,0,463,481,0,466,421
21.01.2020,05:00,0,474,496,0,475,435
