Datum,Uhrzeit,Generation_DE PSS B[MW],Generation_DE PSS C[MW],Generation_DE PSS D[MW],Generation_DE PSS F[MW],Generation_DE PSS E[MW],Generation_DE PSS A[MW]
21.01.2020,08:00,0,159,160,160,160,0
21.01.2020,09:00,0,1,11,147,0,0
21.01.2020,10:00,0,0,0,0,0,0
21.01.2020,11:00,0,0,0,0,0,0
21.01.2020,12:00,0,0,0,0,0,0
21.01.2020,13:00,0,0,0,0,0,0
21.01.2020,14:00,0,0,0,0,0,0
21.01.2020,15:00,0,23,0,0,0,0
21.01.2020,16:00,0,150,0,8,2,0
21.01.2020,17:00,0,152,152,149,154,152
21.01.2020,18:00,0,149,149,149,151,149
21.01.2020,19:00,0,147,147,147,148,146
21.01.2020,20:00,0,103,115,46,0,2
21.01.2020,21:00,0,0,39,0,0,0
21.01.2020,22:00,0,0,0,0,0,0
21.01.2020,23:00,0,0,0,0,0,0
22.01.2020,00:00,0,0,0,0,0,0
22.01.2020,01:00,0,0,0,0,0,0
22.01.2020,02:00,0,0,0,0,0,0
22.01.2020,03:00,0,0,0,0,0,0
22.01.2020,04:00,0,0,0,0,0,0
22.01.2020,05:00,0,0,0,0,0,0
22.01.2020,06:00,0,0,0,0,0,0
22.01.2020,07:00,0,5,0,7,0,41
22.01.2020,08:00,0,116,109,116,3,116
22.01.2020,09:00,0,0,2,5,3,81
22.01.2020,10:00,0,0,0,0,0,0
22.01.2020,11:00,0,0,0,0,0,0
22.01.2020,12:00,0,0,0,0,0,0
22.01.2020,13:00,0,0,0,0,0,0
22.01.2020,14:00,0,0,0,0,0,43
22.01.2020,15:00,0,39,39,0,35,112
22.01.2020,16:00,0,91,123,10,124,122
22.01.2020,17:00,0,148,148,147,149,147
22.01.2020,18:00,0,143,144,144,144,143
22.01.2020,19:00,0,137,138,138,138,137
22.01.2020,20:00,0,11,36,62,47,120
22.01.2020,21:00,0,1,0,0,0,36
22.01.2020,22:00,0,34,0,0,0,32
22.01.2020,23:00,0,0,0,0,0,0
23.01.2020,00:00,0,0,0,0,0,0
23.01.2020,01:00,0,0,0,0,0,0
23.01.2020,02:00,0,0,0,0,0,0
23.01.2020,03:00,0,0,0,0,0,0
23.01.2020,04:00,0,0,0,0,0,0
23.01.2020,05:00,0,0,0,0,0,0
23.01.2020,06:00,0,2,0,35,0,0
23.01.2020,07:00,0,164,164,164,163,72
23.01.2020,08:00,0,5,113,113,114,2
23.01.2020,09:00,0,0,99,100,100,0
23.01.2020,10:00,0,59,0,109,1,0
23.01.2020,11:00,0,0,0,120,0,0
23.01.2020,12:00,0,0,0,4,0,0
23.01.2020,13:00,0,0,0,0,0,0
23.01.2020,14:00,0,0,0,0,0,0
23.01.2020,15:00,0,0,0,0,0,0
23.01.2020,16:00,0,0,0,0,2,90
23.01.2020,17:00,0,0,140,94,144,142
23.01.2020,18:00,0,59,134,134,134,133
23.01.2020,19:00,0,75,88,137,117,81
23.01.2020,20:00,0,0,0,0,0,0
23.01.2020,21:00,0,0,0,0,0,0
23.01.2020,22:00,0,0,0,0,0,0
23.01.2020,23:00,0,0,0,0,0,0
24.01.2020,00:00,0,0,0,0,0,0
24.01.2020,01:00,0,0,0,0,0,0
24.01.2020,02:00,0,0,0,0,0,0
24.01.2020,03:00,0,0,0,0,0,0
24.01.2020,04:00,0,0,0,0,0,0
24.01.2020,05:00,0,0,0,0,1,0
24.01.2020,06:00,0,0,1,0,81,1
24.01.2020,07:00,0,0,138,0,139,138
24.01.2020,08:00,0,0,130,0,130,129
24.01.2020,09:00,0,0,111,0,112,110
24.01.2020,10:00,0,0,9,0,16,7
24.01.2020,11:00,0,0,8,0,0,0
24.01.2020,12:00,0,0,0,0,0,0
24.01.2020,13:00,0,0,0,0,0,0
24.01.2020,14:00,0,0,0,0,0,0
24.01.2020,15:00,0,0,0,0,0,0
24.01.2020,16:00,0,0,1,0,0,0
24.01.2020,17:00,0,2,140,137,138,135
24.01.2020,18:00,0,107,107,107,108,96
24.01.2020,19:00,0,122,125,142,143,0
24.01.2020,20:00,0,0,0,0,0,0
24.01.2020,21:00,0,0,0,0,0,0
24.01.2020,22:00,0,0,0,0,0,0
24.01.2020,23:00,0,0,0,0,0,0
25.01.2020,00:00,0,0,0,0,0,0
25.01.2020,01:00,0,0,0,0,0,0
25.01.2020,02:00,0,0,0,0,0,0
25.01.2020,03:00,0,0,0,0,0,0
25.01.2020,04:00,0,0,0,0,0,0
25.01.2020,05:00,0,0,0,0,0,0
25.01.2020,06:00,0,0,0,0,0,0
25.01.2020,07:00,0,0,0,0,0,0
25.01.2020,08:00,0,0,0,0,0,0
25.01.2020,09:00,0,0,0,0,0,0
25.01.2020,10:00,0,0,0,0,0,0
