Datum,Uhrzeit,Generation_DE KBR[MW]
29.01.2020,04:00,1036
29.01.2020,05:00,975
29.01.2020,06:00,1093
29.01.2020,07:00,1136
29.01.2020,08:00,1136
29.01.2020,09:00,1093
29.01.2020,10:00,1040
29.01.2020,11:00,1045
29.01.2020,12:00,1001
29.01.2020,13:00,1005
29.01.2020,14:00,1011
29.01.2020,15:00,1065
29.01.2020,16:00,1063
29.01.2020,17:00,1065
29.01.2020,18:00,1063
29.01.2020,19:00,1060
29.01.2020,20:00,1048
29.01.2020,21:00,1057
29.01.2020,22:00,1063
29.01.2020,23:00,1059
30.01.2020,00:00,1016
30.01.2020,01:00,1015
30.01.2020,02:00,1045
30.01.2020,03:00,1061
30.01.2020,04:00,1052
30.01.2020,05:00,956
30.01.2020,06:00,928
30.01.2020,07:00,862
30.01.2020,08:00,893
30.01.2020,09:00,912
30.01.2020,10:00,939
30.01.2020,11:00,938
30.01.2020,12:00,925
30.01.2020,13:00,924
30.01.2020,14:00,970
30.01.2020,15:00,1032
30.01.2020,16:00,1138
30.01.2020,17:00,1170
30.01.2020,18:00,1089
30.01.2020,19:00,1003
30.01.2020,20:00,997
30.01.2020,21:00,996
30.01.2020,22:00,997
30.01.2020,23:00,995
31.01.2020,00:00,994
31.01.2020,01:00,836
31.01.2020,02:00,815
31.01.2020,03:00,829
31.01.2020,04:00,994
31.01.2020,05:00,1015
31.01.2020,06:00,1037
31.01.2020,07:00,1039
31.01.2020,08:00,1041
31.01.2020,09:00,1041
31.01.2020,10:00,1041
31.01.2020,11:00,1040
31.01.2020,12:00,1039
31.01.2020,13:00,1015
31.01.2020,14:00,929
31.01.2020,15:00,984
31.01.2020,16:00,1060
31.01.2020,17:00,1074
31.01.2020,18:00,1073
31.01.2020,19:00,1020
31.01.2020,20:00,1017
31.01.2020,21:00,1015
31.01.2020,22:00,1015
31.01.2020,23:00,1014
01.02.2020,00:00,1001
01.02.2020,01:00,980
01.02.2020,02:00,976
01.02.2020,03:00,979
01.02.2020,04:00,982
01.02.2020,05:00,982
01.02.2020,06:00,1038
01.02.2020,07:00,1200
01.02.2020,08:00,1315
01.02.2020,09:00,1326
01.02.2020,10:00,1326
01.02.2020,11:00,1326
01.02.2020,12:00,1325
01.02.2020,13:00,1325
01.02.2020,14:00,1306
01.02.2020,15:00,1325
01.02.2020,16:00,1326
01.02.2020,17:00,1319
01.02.2020,18:00,1239
01.02.2020,19:00,1238
01.02.2020,20:00,1058
01.02.2020,21:00,885
01.02.2020,22:00,841
01.02.2020,23:00,831
02.02.2020,00:00,834
02.02.2020,01:00,858
02.02.2020,02:00,862
02.02.2020,03:00,888
02.02.2020,04:00,922
02.02.2020,05:00,961
02.02.2020,06:00,960
02.02.2020,07:00,1104
02.02.2020,08:00,1307
02.02.2020,09:00,1328
02.02.2020,10:00,1328
02.02.2020,11:00,1328
02.02.2020,12:00,1327
02.02.2020,13:00,1327
02.02.2020,14:00,1327
02.02.2020,15:00,1327
02.02.2020,16:00,1327
02.02.2020,17:00,1328
02.02.2020,18:00,1328
02.02.2020,19:00,1328
02.02.2020,20:00,1327
02.02.2020,21:00,1326
02.02.2020,22:00,1325
02.02.2020,23:00,1325
03.02.2020,00:00,1326
03.02.2020,01:00,1326
03.02.2020,02:00,1326
03.02.2020,03:00,1326
03.02.2020,04:00,1310
03.02.2020,05:00,1291
03.02.2020,06:00,1309
03.02.2020,07:00,1327
03.02.2020,08:00,1325
03.02.2020,09:00,1246
03.02.2020,10:00,1237
03.02.2020,11:00,1236
03.02.2020,12:00,1230
03.02.2020,13:00,1186
03.02.2020,14:00,1110
03.02.2020,15:00,1059
03.02.2020,16:00,1078
03.02.2020,17:00,1086
03.02.2020,18:00,1034
03.02.2020,19:00,966
03.02.2020,20:00,919
03.02.2020,21:00,910
03.02.2020,22:00,932
03.02.2020,23:00,1018
04.02.2020,00:00,1066
04.02.2020,01:00,1062
04.02.2020,02:00,1065
04.02.2020,03:00,1065
04.02.2020,04:00,1044
04.02.2020,05:00,1093
04.02.2020,06:00,1124
04.02.2020,07:00,1274
04.02.2020,08:00,1324
04.02.2020,09:00,1326
04.02.2020,10:00,1326
04.02.2020,11:00,1328
04.02.2020,12:00,1328
04.02.2020,13:00,1326
04.02.2020,14:00,1326
04.02.2020,15:00,1222
04.02.2020,16:00,1042
04.02.2020,17:00,1030
04.02.2020,18:00,1111
04.02.2020,19:00,1111
04.02.2020,20:00,1111
04.02.2020,21:00,1117
04.02.2020,22:00,1104
04.02.2020,23:00,1110
05.02.2020,00:00,1158
05.02.2020,01:00,1127
05.02.2020,02:00,1132
05.02.2020,03:00,1177
05.02.2020,04:00,1191
05.02.2020,05:00,1279
05.02.2020,06:00,1308
05.02.2020,07:00,1325
05.02.2020,08:00,1325
05.02.2020,09:00,1327
05.02.2020,10:00,1327
05.02.2020,11:00,1327
05.02.2020,12:00,1327
05.02.2020,13:00,1327
05.02.2020,14:00,1327
05.02.2020,15:00,1326
05.02.2020,16:00,1326
05.02.2020,17:00,1326
05.02.2020,18:00,1327
05.02.2020,19:00,1327
05.02.2020,20:00,1327
05.02.2020,21:00,1327
05.02.2020,22:00,1327
05.02.2020,23:00,1326
06.02.2020,00:00,1325
06.02.2020,01:00,1326
06.02.2020,02:00,1326
06.02.2020,03:00,1326
06.02.2020,04:00,1324
06.02.2020,05:00,1305
06.02.2020,06:00,1324
06.02.2020,07:00,1323
06.02.2020,08:00,1324
06.02.2020,09:00,1325
06.02.2020,10:00,1325
06.02.2020,11:00,1326
06.02.2020,12:00,1327
06.02.2020,13:00,1328
06.02.2020,14:00,1328
06.02.2020,15:00,1328
06.02.2020,16:00,1328
06.02.2020,17:00,1327
06.02.2020,18:00,1326
06.02.2020,19:00,1326
06.02.2020,20:00,1327
06.02.2020,21:00,1327
06.02.2020,22:00,1328
06.02.2020,23:00,1328
07.02.2020,00:00,1328
07.02.2020,01:00,1328
07.02.2020,02:00,1328
