Datum,Uhrzeit,Generation_DE Block 2 Tiefstack[MW],Generation_DE Gas0und0Dampfturbinen Tiefstack[MW]
26.01.2020,10:00,147,0
26.01.2020,11:00,147,0
26.01.2020,12:00,147,0
26.01.2020,13:00,147,0
26.01.2020,14:00,147,0
26.01.2020,15:00,147,0
26.01.2020,16:00,147,0
26.01.2020,17:00,147,0
26.01.2020,18:00,147,0
26.01.2020,19:00,148,0
26.01.2020,20:00,155,0
26.01.2020,21:00,148,0
26.01.2020,22:00,149,0
26.01.2020,23:00,149,0
27.01.2020,00:00,149,0
27.01.2020,01:00,146,0
27.01.2020,02:00,140,0
27.01.2020,03:00,136,0
27.01.2020,04:00,140,0
27.01.2020,05:00,144,0
27.01.2020,06:00,148,0
27.01.2020,07:00,148,0
27.01.2020,08:00,149,0
27.01.2020,09:00,136,0
27.01.2020,10:00,152,0
27.01.2020,11:00,152,0
27.01.2020,12:00,136,0
27.01.2020,13:00,142,0
27.01.2020,14:00,148,0
27.01.2020,15:00,147,0
27.01.2020,16:00,148,0
27.01.2020,17:00,151,0
27.01.2020,18:00,152,0
27.01.2020,19:00,152,0
27.01.2020,20:00,154,0
27.01.2020,21:00,151,0
27.01.2020,22:00,154,0
27.01.2020,23:00,138,0
28.01.2020,00:00,121,0
28.01.2020,01:00,123,0
28.01.2020,02:00,122,0
28.01.2020,03:00,121,0
28.01.2020,04:00,141,0
28.01.2020,05:00,148,0
28.01.2020,06:00,154,0
28.01.2020,07:00,160,0
28.01.2020,08:00,158,0
28.01.2020,09:00,148,0
28.01.2020,10:00,148,0
28.01.2020,11:00,149,0
28.01.2020,12:00,133,0
28.01.2020,13:00,145,0
28.01.2020,14:00,143,0
28.01.2020,15:00,145,0
28.01.2020,16:00,146,0
28.01.2020,17:00,146,0
28.01.2020,18:00,142,0
28.01.2020,19:00,146,0
28.01.2020,20:00,146,0
28.01.2020,21:00,149,0
28.01.2020,22:00,153,0
28.01.2020,23:00,145,0
29.01.2020,00:00,144,0
29.01.2020,01:00,145,0
29.01.2020,02:00,144,0
29.01.2020,03:00,144,0
29.01.2020,04:00,143,0
29.01.2020,05:00,148,0
29.01.2020,06:00,145,0
29.01.2020,07:00,145,0
29.01.2020,08:00,145,0
29.01.2020,09:00,146,0
29.01.2020,10:00,146,0
29.01.2020,11:00,146,0
29.01.2020,12:00,144,0
29.01.2020,13:00,145,0
29.01.2020,14:00,143,0
29.01.2020,15:00,141,0
29.01.2020,16:00,140,0
29.01.2020,17:00,141,0
29.01.2020,18:00,141,0
29.01.2020,19:00,141,0
29.01.2020,20:00,141,0
29.01.2020,21:00,142,0
29.01.2020,22:00,146,0
29.01.2020,23:00,147,0
30.01.2020,00:00,134,0
30.01.2020,01:00,134,0
30.01.2020,02:00,132,0
30.01.2020,03:00,132,0
30.01.2020,04:00,139,0
30.01.2020,05:00,148,0
30.01.2020,06:00,146,0
30.01.2020,07:00,144,0
