Datum,Uhrzeit,Generation_DE KKE[MW]
30.01.2020,20:00,1343
30.01.2020,21:00,1111
30.01.2020,22:00,690
30.01.2020,23:00,422
31.01.2020,00:00,365
31.01.2020,01:00,365
31.01.2020,02:00,364
31.01.2020,03:00,368
31.01.2020,04:00,375
31.01.2020,05:00,564
31.01.2020,06:00,849
31.01.2020,07:00,1132
31.01.2020,08:00,1290
31.01.2020,09:00,1247
31.01.2020,10:00,1330
31.01.2020,11:00,1323
31.01.2020,12:00,1336
31.01.2020,13:00,1334
31.01.2020,14:00,1334
31.01.2020,15:00,1335
31.01.2020,16:00,1335
31.01.2020,17:00,1334
31.01.2020,18:00,1334
31.01.2020,19:00,1334
31.01.2020,20:00,1334
31.01.2020,21:00,1334
31.01.2020,22:00,1333
31.01.2020,23:00,1333
01.02.2020,00:00,1334
01.02.2020,01:00,1205
01.02.2020,02:00,1206
01.02.2020,03:00,883
01.02.2020,04:00,833
01.02.2020,05:00,833
01.02.2020,06:00,833
01.02.2020,07:00,859
01.02.2020,08:00,1234
01.02.2020,09:00,1333
01.02.2020,10:00,1313
01.02.2020,11:00,983
01.02.2020,12:00,978
01.02.2020,13:00,1298
01.02.2020,14:00,1337
01.02.2020,15:00,1337
01.02.2020,16:00,1337
01.02.2020,17:00,1337
01.02.2020,18:00,1340
01.02.2020,19:00,1166
01.02.2020,20:00,829
01.02.2020,21:00,656
01.02.2020,22:00,602
01.02.2020,23:00,602
02.02.2020,00:00,602
02.02.2020,01:00,604
02.02.2020,02:00,603
02.02.2020,03:00,681
02.02.2020,04:00,936
02.02.2020,05:00,1136
02.02.2020,06:00,1293
02.02.2020,07:00,1314
02.02.2020,08:00,1313
02.02.2020,09:00,1313
02.02.2020,10:00,1338
02.02.2020,11:00,1344
02.02.2020,12:00,1345
02.02.2020,13:00,1346
02.02.2020,14:00,1347
02.02.2020,15:00,1348
02.02.2020,16:00,1347
02.02.2020,17:00,1346
02.02.2020,18:00,1341
02.02.2020,19:00,1338
02.02.2020,20:00,1338
02.02.2020,21:00,1339
02.02.2020,22:00,1341
02.02.2020,23:00,1341
03.02.2020,00:00,1340
03.02.2020,01:00,1338
03.02.2020,02:00,1337
03.02.2020,03:00,1336
03.02.2020,04:00,1336
03.02.2020,05:00,1336
03.02.2020,06:00,1336
03.02.2020,07:00,1335
03.02.2020,08:00,1339
03.02.2020,09:00,1340
03.02.2020,10:00,1338
03.02.2020,11:00,1337
03.02.2020,12:00,1337
03.02.2020,13:00,1335
03.02.2020,14:00,1334
03.02.2020,15:00,1336
03.02.2020,16:00,1337
03.02.2020,17:00,1338
03.02.2020,18:00,1340
03.02.2020,19:00,1341
03.02.2020,20:00,1341
03.02.2020,21:00,1343
03.02.2020,22:00,1344
03.02.2020,23:00,1347
04.02.2020,00:00,1347
04.02.2020,01:00,1345
04.02.2020,02:00,1345
04.02.2020,03:00,1346
04.02.2020,04:00,1345
04.02.2020,05:00,1347
04.02.2020,06:00,1346
04.02.2020,07:00,1343
04.02.2020,08:00,1344
04.02.2020,09:00,1345
04.02.2020,10:00,1346
04.02.2020,11:00,1347
04.02.2020,12:00,1348
04.02.2020,13:00,1346
04.02.2020,14:00,1346
04.02.2020,15:00,1347
04.02.2020,16:00,1347
04.02.2020,17:00,1347
04.02.2020,18:00,1347
04.02.2020,19:00,1348
04.02.2020,20:00,1350
04.02.2020,21:00,1348
04.02.2020,22:00,1347
04.02.2020,23:00,1344
05.02.2020,00:00,1346
05.02.2020,01:00,1349
05.02.2020,02:00,1347
05.02.2020,03:00,1347
05.02.2020,04:00,1347
05.02.2020,05:00,1348
05.02.2020,06:00,1349
05.02.2020,07:00,1350
05.02.2020,08:00,1352
05.02.2020,09:00,1352
05.02.2020,10:00,1353
05.02.2020,11:00,1351
05.02.2020,12:00,1348
05.02.2020,13:00,1347
05.02.2020,14:00,1348
05.02.2020,15:00,1349
05.02.2020,16:00,1348
05.02.2020,17:00,1349
05.02.2020,18:00,1349
05.02.2020,19:00,1350
05.02.2020,20:00,1348
05.02.2020,21:00,1347
05.02.2020,22:00,1345
05.02.2020,23:00,1348
06.02.2020,00:00,1348
06.02.2020,01:00,1346
06.02.2020,02:00,1348
06.02.2020,03:00,1351
06.02.2020,04:00,1348
06.02.2020,05:00,1348
06.02.2020,06:00,1347
06.02.2020,07:00,1347
06.02.2020,08:00,1347
06.02.2020,09:00,1347
06.02.2020,10:00,1349
06.02.2020,11:00,1350
06.02.2020,12:00,1349
06.02.2020,13:00,1347
06.02.2020,14:00,1347
06.02.2020,15:00,1347
06.02.2020,16:00,1347
06.02.2020,17:00,1347
06.02.2020,18:00,1348
06.02.2020,19:00,1349
06.02.2020,20:00,1349
06.02.2020,21:00,1350
06.02.2020,22:00,1350
06.02.2020,23:00,1350
07.02.2020,00:00,1350
07.02.2020,01:00,1350
07.02.2020,02:00,1350
07.02.2020,03:00,1350
07.02.2020,04:00,1350
07.02.2020,05:00,1350
07.02.2020,06:00,1350
07.02.2020,07:00,1350
07.02.2020,08:00,1350
07.02.2020,09:00,1350
07.02.2020,10:00,1350
07.02.2020,11:00,1349
07.02.2020,12:00,1348
07.02.2020,13:00,1348
07.02.2020,14:00,1346
07.02.2020,15:00,1345
07.02.2020,16:00,1344
07.02.2020,17:00,1345
07.02.2020,18:00,1343
07.02.2020,19:00,1343
07.02.2020,20:00,1345
07.02.2020,21:00,1348
07.02.2020,22:00,1347
07.02.2020,23:00,1346
08.02.2020,00:00,1348
08.02.2020,01:00,1349
08.02.2020,02:00,1349
08.02.2020,03:00,1349
08.02.2020,04:00,1350
08.02.2020,05:00,1350
08.02.2020,06:00,1349
08.02.2020,07:00,1348
08.02.2020,08:00,1349
08.02.2020,09:00,1348
08.02.2020,10:00,1349
08.02.2020,11:00,1349
08.02.2020,12:00,1346
08.02.2020,13:00,1346
08.02.2020,14:00,1343
08.02.2020,15:00,1340
08.02.2020,16:00,1340
08.02.2020,17:00,1339
08.02.2020,18:00,1338
08.02.2020,19:00,1341
08.02.2020,20:00,1340
08.02.2020,21:00,1339
08.02.2020,22:00,1342
08.02.2020,23:00,1339
09.02.2020,00:00,1303
09.02.2020,01:00,1302
09.02.2020,02:00,1300
09.02.2020,03:00,1275
09.02.2020,04:00,908
09.02.2020,05:00,834
09.02.2020,06:00,827
09.02.2020,07:00,623
09.02.2020,08:00,416
09.02.2020,09:00,408
09.02.2020,10:00,408
09.02.2020,11:00,408
09.02.2020,12:00,408
09.02.2020,13:00,408
09.02.2020,14:00,410
09.02.2020,15:00,421
09.02.2020,16:00,651
09.02.2020,17:00,875
09.02.2020,18:00,1145
09.02.2020,19:00,1235
09.02.2020,20:00,1235
09.02.2020,21:00,1235
09.02.2020,22:00,1237
09.02.2020,23:00,1233
10.02.2020,00:00,1281
10.02.2020,01:00,1312
10.02.2020,02:00,1313
10.02.2020,03:00,1312
10.02.2020,04:00,1312
10.02.2020,05:00,1315
10.02.2020,06:00,1312
10.02.2020,07:00,1311
10.02.2020,08:00,1310
10.02.2020,09:00,1309
10.02.2020,10:00,1312
10.02.2020,11:00,1313
10.02.2020,12:00,1313
10.02.2020,13:00,1315
